,Database,AUC
0,yeast-2_vs_8,0.6720430107526881
1,zoo-3,0.95
2,yeast4,0.8231087094723458
3,yeast1,0.6378265182409346
4,yeast3,0.8803374655647384
5,yeast-2_vs_4,0.8102766798418972
6,yeast-1_vs_7,0.7034883720930233
7,yeast5,0.9135802469135803
8,yeast6,0.758128078817734
9,yeast-1-4-5-8_vs_7,0.6967418546365914
10,winequality-white-3_vs_7,0.6875
11,yeast-0-3-5-9_vs_7-8,0.529891304347826
12,wisconsinImb,0.9099953183520599
13,winequality-white-9_vs_4,0.7575757575757576
14,winequality-white-3-9_vs_5,0.5160958904109589
15,yeast-1-2-8-9_vs_7,0.7644927536231885
16,yeast-0-5-6-7-9_vs_4,0.7296650717703349
17,winequality-red-8_vs_6-7,0.5441616766467066
18,yeast-0-2-5-6_vs_3-7-8-9,0.7553867403314917
19,yeast-0-2-5-7-9_vs_3-6-8,0.7437845303867403
20,winequality-red-4,0.611356281259194
21,vehicle1,0.6597222222222223
22,winequality-red-3_vs_5,0.5145985401459854
23,vehicle3,0.6934627357626808
24,winequality-red-8_vs_6,0.5146484375
25,vehicle2,0.6207611832611832
26,vowel0,0.8785493827160493
27,shuttle-c2-vs-c4,0.5
28,vehicle0,0.7104807692307692
29,shuttle-c0-vs-c4,0.5257675438596491
30,poker-9_vs_7,0.7287234042553191
31,segment0,0.5421066727884909
32,poker-8-9_vs_5,0.7370731707317073
33,page-blocks-1-3_vs_4,0.6807116104868913
34,shuttle-2_vs_5,0.9948012232415903
35,poker-8_vs_6,0.9863013698630136
36,poker-8-9_vs_6,0.7657534246575342
37,pimaImb,0.7014814814814815
38,shuttle-6_vs_2-3,0.75
39,page-blocks0,0.5326079058276413
40,iris0,0.77
41,kr-vs-k-zero_vs_fifteen,0.6951501154734411
42,kr-vs-k-one_vs_fifteen,0.9054561200923787
43,lymphography-normal-fibrosis,0.9285714285714286
44,kr-vs-k-zero-one_vs_draw,0.5
45,kr-vs-k-three_vs_eleven,0.5434210526315789
46,new-thyroid1,0.7361111111111112
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.9320987654320987
48,kr-vs-k-zero_vs_eight,0.6372377622377623
49,new-thyroid2,0.9325396825396826
50,glass5,0.5609756097560976
51,glass2,0.6153846153846154
52,habermanImb,0.7333333333333334
53,glass1,0.5451388888888888
54,glass-0-6_vs_5,0.8
55,glass0,0.6293103448275863
56,glass4,0.8875
57,glass6,0.7927927927927928
58,glass-0-1-6_vs_5,0.9428571428571428
59,glass-0-4_vs_5,1.0
60,ecoli1,0.6953125
61,glass-0-1-5_vs_2,0.7983870967741935
62,ecoli3,0.6533957845433256
63,glass-0-1-2-3_vs_4-5-6,0.8338068181818181
64,flare-F,0.7447154471544715
65,glass-0-1-4-6_vs_2,0.5777027027027026
66,ecoli2,0.7169059011164275
67,ecoli-0_vs_1,0.6540229885057471
68,ecoli4,0.69921875
69,glass-0-1-6_vs_2,0.5785714285714285
70,ecoli-0-6-7_vs_5,0.8031250000000001
71,ecoli-0-2-6-7_vs_3-5,0.9225000000000001
72,ecoli-0-1_vs_2-3-5,0.5545454545454546
73,ecoli-0-2-3-4_vs_5,0.5540540540540541
74,ecoli-0-3-4-6_vs_5,0.7094594594594594
75,ecoli-0-3-4-7_vs_5-6,0.8361702127659574
76,ecoli-0-1_vs_5,0.5511363636363636
77,ecoli-0-6-7_vs_3-5,0.57
78,ecoli-0-3-4_vs_5,0.9131944444444444
79,ecoli-0-4-6_vs_5,1.0
80,car-good,0.5
81,ecoli-0-1-3-7_vs_2-6,0.7181818181818183
82,abalone9-18,0.6549919484702094
83,ecoli-0-1-4-7_vs_2-3-5-6,0.5591397849462365
84,ecoli-0-1-4-6_vs_5,0.5913461538461537
85,ecoli-0-1-4-7_vs_5-6,0.646774193548387
86,car-vgood,0.5
87,dermatology-6,0.7389705882352942
88,cleveland-0_vs_4,0.6041666666666667
89,abalone19,0.5341777241656614
90,abalone-21_vs_8,0.5847953216374269
91,abalone-19_vs_10-11-12-13,0.6446540880503144
92,abalone-20_vs_8-9-10,0.5081569664902998
93,abalone-3_vs_11,0.989795918367347
94,abalone-17_vs_7-8-9-10,0.5813230994152047
