,Database,AUC
0,yeast-2_vs_8,0.6263440860215054
1,zoo-3,0.575
2,yeast4,0.6826128417037508
3,yeast1,0.5272787391160586
4,yeast3,0.5347796143250688
5,yeast-2_vs_4,0.8601778656126482
6,yeast-1_vs_7,0.6085271317829457
7,yeast5,0.6574074074074074
8,yeast6,0.5783251231527093
9,yeast-1-4-5-8_vs_7,0.6679197994987469
10,winequality-white-3_vs_7,0.9794034090909092
11,yeast-0-3-5-9_vs_7-8,0.5804347826086955
12,wisconsinImb,0.9707397003745318
13,winequality-white-9_vs_4,0.5909090909090909
14,winequality-white-3-9_vs_5,0.8044520547945205
15,yeast-1-2-8-9_vs_7,0.5923913043478262
16,yeast-0-5-6-7-9_vs_4,0.5205741626794258
17,winequality-red-8_vs_6-7,0.6452095808383234
18,yeast-0-2-5-6_vs_3-7-8-9,0.624585635359116
19,yeast-0-2-5-7-9_vs_3-6-8,0.7099447513812155
20,winequality-red-4,0.5739923506913798
21,vehicle1,0.5965007215007214
22,winequality-red-3_vs_5,0.8540145985401459
23,vehicle3,0.6001648049807727
24,winequality-red-8_vs_6,0.755859375
25,vehicle2,0.710588023088023
26,vowel0,0.6138888888888889
27,shuttle-c2-vs-c4,1.0
28,vehicle0,0.5475961538461538
29,shuttle-c0-vs-c4,0.710099902534113
30,poker-9_vs_7,0.9840425531914894
31,segment0,0.7718281297826752
32,poker-8-9_vs_5,0.7070731707317073
33,page-blocks-1-3_vs_4,0.6779026217228465
34,shuttle-2_vs_5,0.9859327217125382
35,poker-8_vs_6,0.8240582191780821
36,poker-8-9_vs_6,0.6832191780821917
37,pimaImb,0.7176851851851851
38,shuttle-6_vs_2-3,0.9772727272727273
39,page-blocks0,0.6653965629995641
40,iris0,0.7725
41,kr-vs-k-zero_vs_fifteen,0.7623171670515781
42,kr-vs-k-one_vs_fifteen,0.8192118937644342
43,lymphography-normal-fibrosis,1.0
44,kr-vs-k-zero-one_vs_draw,0.7954081632653061
45,kr-vs-k-three_vs_eleven,0.8215686274509804
46,new-thyroid1,0.7579365079365079
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.7083333333333333
48,kr-vs-k-zero_vs_eight,0.6308275058275059
49,new-thyroid2,0.9226190476190477
50,glass5,0.9634146341463414
51,glass2,0.516025641025641
52,habermanImb,0.6660130718954249
53,glass1,0.5706018518518519
54,glass-0-6_vs_5,0.75
55,glass0,0.7635467980295567
56,glass4,0.8541666666666666
57,glass6,0.7117117117117118
58,glass-0-1-6_vs_5,0.7785714285714286
59,glass-0-4_vs_5,0.7352941176470588
60,ecoli1,0.5961538461538463
61,glass-0-1-5_vs_2,0.5403225806451613
62,ecoli3,0.5152224824355972
63,glass-0-1-2-3_vs_4-5-6,0.75
64,flare-F,0.7775067750677507
65,glass-0-1-4-6_vs_2,0.6317567567567568
66,ecoli2,0.5606060606060606
67,ecoli-0_vs_1,0.7379310344827587
68,ecoli4,0.802734375
69,glass-0-1-6_vs_2,0.5214285714285715
70,ecoli-0-6-7_vs_5,0.8343750000000001
71,ecoli-0-2-6-7_vs_3-5,0.86
72,ecoli-0-1_vs_2-3-5,0.7886363636363636
73,ecoli-0-2-3-4_vs_5,0.8445945945945946
74,ecoli-0-3-4-6_vs_5,0.777027027027027
75,ecoli-0-3-4-7_vs_5-6,0.7106382978723405
76,ecoli-0-1_vs_5,0.7045454545454546
77,ecoli-0-6-7_vs_3-5,0.9775
78,ecoli-0-3-4_vs_5,0.7222222222222222
79,ecoli-0-4-6_vs_5,0.7905405405405406
80,car-good,0.5015060240963856
81,ecoli-0-1-3-7_vs_2-6,0.9090909090909091
82,abalone9-18,0.8731884057971014
83,ecoli-0-1-4-7_vs_2-3-5-6,0.7083333333333334
84,ecoli-0-1-4-6_vs_5,0.8004807692307693
85,ecoli-0-1-4-7_vs_5-6,0.6935483870967742
86,car-vgood,0.5022522522522523
87,dermatology-6,0.6819852941176471
88,cleveland-0_vs_4,0.96875
89,abalone19,0.6456574185765983
90,abalone-21_vs_8,0.9912280701754386
91,abalone-19_vs_10-11-12-13,0.5927672955974843
92,abalone-20_vs_8-9-10,0.8478835978835979
93,abalone-3_vs_11,0.6887755102040816
94,abalone-17_vs_7-8-9-10,0.8342470760233918
