,Database,AUC
0,yeast-2_vs_8,0.5161290322580645
1,zoo-3,0.85
2,yeast4,0.6802288620470439
3,yeast1,0.5068610162019178
4,yeast3,0.8409090909090908
5,yeast-2_vs_4,0.6477272727272727
6,yeast-1_vs_7,0.6753875968992249
7,yeast5,0.7212577160493827
8,yeast6,0.8467980295566503
9,yeast-1-4-5-8_vs_7,0.5419799498746867
10,winequality-white-3_vs_7,0.7613636363636364
11,yeast-0-3-5-9_vs_7-8,0.5380434782608696
12,wisconsinImb,0.9477411048689138
13,winequality-white-9_vs_4,0.8787878787878788
14,winequality-white-3-9_vs_5,0.6332191780821917
15,yeast-1-2-8-9_vs_7,0.5258152173913043
16,yeast-0-5-6-7-9_vs_4,0.7473684210526316
17,winequality-red-8_vs_6-7,0.5830838323353293
18,yeast-0-2-5-6_vs_3-7-8-9,0.7457182320441988
19,yeast-0-2-5-7-9_vs_3-6-8,0.7335635359116022
20,winequality-red-4,0.5726684318917329
21,vehicle1,0.5597041847041847
22,winequality-red-3_vs_5,0.9397810218978102
23,vehicle3,0.7135140084233657
24,winequality-red-8_vs_6,0.556640625
25,vehicle2,0.5918109668109668
26,vowel0,0.5637345679012347
27,shuttle-c2-vs-c4,0.5208333333333333
28,vehicle0,0.8998076923076923
29,shuttle-c0-vs-c4,0.8707358674463938
30,poker-9_vs_7,0.7287234042553191
31,segment0,0.5828933272115091
32,poker-8-9_vs_5,0.8190243902439025
33,page-blocks-1-3_vs_4,0.6582397003745318
34,shuttle-2_vs_5,0.7394495412844037
35,poker-8_vs_6,0.8347602739726028
36,poker-8-9_vs_6,0.7065068493150686
37,pimaImb,0.8235185185185185
38,shuttle-6_vs_2-3,0.9034090909090908
39,page-blocks0,0.5203413384682458
40,iris0,0.835
41,kr-vs-k-zero_vs_fifteen,0.7361431870669746
42,kr-vs-k-one_vs_fifteen,0.9083429561200924
43,lymphography-normal-fibrosis,0.9285714285714286
44,kr-vs-k-zero-one_vs_draw,0.50625
45,kr-vs-k-three_vs_eleven,0.5184210526315789
46,new-thyroid1,0.621031746031746
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.9320987654320988
48,kr-vs-k-zero_vs_eight,0.6722027972027972
49,new-thyroid2,0.8373015873015873
50,glass5,0.5670731707317074
51,glass2,0.6025641025641025
52,habermanImb,0.6830065359477124
53,glass1,0.5648148148148148
54,glass-0-6_vs_5,0.7375
55,glass0,0.625615763546798
56,glass4,0.7124999999999999
57,glass6,0.759009009009009
58,glass-0-1-6_vs_5,0.9571428571428571
59,glass-0-4_vs_5,1.0
60,ecoli1,0.8064903846153846
61,glass-0-1-5_vs_2,0.6653225806451613
62,ecoli3,0.9391100702576113
63,glass-0-1-2-3_vs_4-5-6,0.8139204545454546
64,flare-F,0.6959349593495934
65,glass-0-1-4-6_vs_2,0.6452702702702703
66,ecoli2,0.6140350877192984
67,ecoli-0_vs_1,0.9103448275862069
68,ecoli4,0.69140625
69,glass-0-1-6_vs_2,0.5928571428571429
70,ecoli-0-6-7_vs_5,0.8468749999999999
71,ecoli-0-2-6-7_vs_3-5,0.965
72,ecoli-0-1_vs_2-3-5,0.6659090909090909
73,ecoli-0-2-3-4_vs_5,0.6891891891891893
74,ecoli-0-3-4-6_vs_5,0.6824324324324325
75,ecoli-0-3-4-7_vs_5-6,0.778723404255319
76,ecoli-0-1_vs_5,0.5852272727272727
77,ecoli-0-6-7_vs_3-5,0.5125
78,ecoli-0-3-4_vs_5,0.9270833333333334
79,ecoli-0-4-6_vs_5,0.9459459459459459
80,car-good,0.5
81,ecoli-0-1-3-7_vs_2-6,0.5181818181818182
82,abalone9-18,0.8655394524959743
83,ecoli-0-1-4-7_vs_2-3-5-6,0.543010752688172
84,ecoli-0-1-4-6_vs_5,0.8197115384615384
85,ecoli-0-1-4-7_vs_5-6,0.685483870967742
86,car-vgood,0.5
87,dermatology-6,0.818014705882353
88,cleveland-0_vs_4,0.6354166666666667
89,abalone19,0.5855448331322879
90,abalone-21_vs_8,0.5131578947368421
91,abalone-19_vs_10-11-12-13,0.6356693620844565
92,abalone-20_vs_8-9-10,0.5875220458553791
93,abalone-3_vs_11,0.9982993197278911
94,abalone-17_vs_7-8-9-10,0.5952119883040936
