,Database,AUC
0,yeast-2_vs_8,0.6317204301075269
1,zoo-3,0.7
2,yeast4,0.6686268277177367
3,yeast1,0.5432051140747272
4,yeast3,0.5238751147842057
5,yeast-2_vs_4,0.8473320158102766
6,yeast-1_vs_7,0.6143410852713178
7,yeast5,0.6556712962962963
8,yeast6,0.5187192118226601
9,yeast-1-4-5-8_vs_7,0.68734335839599
10,winequality-white-3_vs_7,0.9751420454545454
11,yeast-0-3-5-9_vs_7-8,0.5657608695652173
12,wisconsinImb,0.9783473782771535
13,winequality-white-9_vs_4,0.6212121212121212
14,winequality-white-3-9_vs_5,0.7945205479452055
15,yeast-1-2-8-9_vs_7,0.625
16,yeast-0-5-6-7-9_vs_4,0.5114832535885168
17,winequality-red-8_vs_6-7,0.6220059880239521
18,yeast-0-2-5-6_vs_3-7-8-9,0.6117403314917127
19,yeast-0-2-5-7-9_vs_3-6-8,0.6845303867403315
20,winequality-red-4,0.5891438658428949
21,vehicle1,0.5902777777777777
22,winequality-red-3_vs_5,0.8558394160583942
23,vehicle3,0.5640908258560703
24,winequality-red-8_vs_6,0.7548828125
25,vehicle2,0.6934523809523809
26,vowel0,0.6125
27,shuttle-c2-vs-c4,1.0
28,vehicle0,0.5586538461538462
29,shuttle-c0-vs-c4,0.7270955165692008
30,poker-9_vs_7,0.9893617021276595
31,segment0,0.7621479951025405
32,poker-8-9_vs_5,0.7173170731707317
33,page-blocks-1-3_vs_4,0.6647940074906367
34,shuttle-2_vs_5,0.9850152905198777
35,poker-8_vs_6,0.8176369863013699
36,poker-8-9_vs_6,0.5756849315068493
37,pimaImb,0.699074074074074
38,shuttle-6_vs_2-3,0.9829545454545454
39,page-blocks0,0.6288284769655574
40,iris0,0.7675000000000001
41,kr-vs-k-zero_vs_fifteen,0.7644341801385681
42,kr-vs-k-one_vs_fifteen,0.792147806004619
43,lymphography-normal-fibrosis,1.0
44,kr-vs-k-zero-one_vs_draw,0.7500425170068028
45,kr-vs-k-three_vs_eleven,0.7848297213622291
46,new-thyroid1,0.7261904761904762
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.7094907407407407
48,kr-vs-k-zero_vs_eight,0.5914918414918415
49,new-thyroid2,0.9007936507936508
50,glass5,0.9634146341463414
51,glass2,0.5865384615384615
52,habermanImb,0.661437908496732
53,glass1,0.5671296296296297
54,glass-0-6_vs_5,0.7125
55,glass0,0.7339901477832512
56,glass4,0.85
57,glass6,0.7094594594594595
58,glass-0-1-6_vs_5,0.7714285714285714
59,glass-0-4_vs_5,0.7352941176470589
60,ecoli1,0.6225961538461537
61,glass-0-1-5_vs_2,0.5524193548387096
62,ecoli3,0.5199063231850117
63,glass-0-1-2-3_vs_4-5-6,0.7386363636363636
64,flare-F,0.8265582655826558
65,glass-0-1-4-6_vs_2,0.6283783783783783
66,ecoli2,0.594896331738437
67,ecoli-0_vs_1,0.7678160919540229
68,ecoli4,0.8203125
69,glass-0-1-6_vs_2,0.5321428571428571
70,ecoli-0-6-7_vs_5,0.85625
71,ecoli-0-2-6-7_vs_3-5,0.91
72,ecoli-0-1_vs_2-3-5,0.8363636363636364
73,ecoli-0-2-3-4_vs_5,0.8513513513513513
74,ecoli-0-3-4-6_vs_5,0.8344594594594594
75,ecoli-0-3-4-7_vs_5-6,0.7212765957446808
76,ecoli-0-1_vs_5,0.7642045454545454
77,ecoli-0-6-7_vs_3-5,0.9875
78,ecoli-0-3-4_vs_5,0.7534722222222222
79,ecoli-0-4-6_vs_5,0.8243243243243243
80,car-good,0.5007530120481928
81,ecoli-0-1-3-7_vs_2-6,0.9181818181818182
82,abalone9-18,0.8647342995169083
83,ecoli-0-1-4-7_vs_2-3-5-6,0.7473118279569892
84,ecoli-0-1-4-6_vs_5,0.8269230769230769
85,ecoli-0-1-4-7_vs_5-6,0.7338709677419355
86,car-vgood,0.5022522522522522
87,dermatology-6,0.71875
88,cleveland-0_vs_4,0.9739583333333334
89,abalone19,0.6259549658222758
90,abalone-21_vs_8,0.9941520467836257
91,abalone-19_vs_10-11-12-13,0.5770440251572326
92,abalone-20_vs_8-9-10,0.8544973544973545
93,abalone-3_vs_11,0.7023809523809523
94,abalone-17_vs_7-8-9-10,0.8348866959064327
