,Database,AUC
0,yeast-2_vs_8,0.6653225806451613
1,zoo-3,0.95
2,yeast4,0.8223140495867769
3,yeast1,0.6309379477570815
4,yeast3,0.8703512396694215
5,yeast-2_vs_4,0.8132411067193677
6,yeast-1_vs_7,0.7112403100775194
7,yeast5,0.9133873456790124
8,yeast6,0.7529556650246305
9,yeast-1-4-5-8_vs_7,0.7142857142857143
10,winequality-white-3_vs_7,0.6896306818181819
11,yeast-0-3-5-9_vs_7-8,0.5342391304347825
12,wisconsinImb,0.9127457865168539
13,winequality-white-9_vs_4,0.7575757575757576
14,winequality-white-3-9_vs_5,0.5102739726027397
15,yeast-1-2-8-9_vs_7,0.7644927536231885
16,yeast-0-5-6-7-9_vs_4,0.7315789473684211
17,winequality-red-8_vs_6-7,0.5449101796407185
18,yeast-0-2-5-6_vs_3-7-8-9,0.755524861878453
19,yeast-0-2-5-7-9_vs_3-6-8,0.75
20,winequality-red-4,0.6094439541041483
21,vehicle1,0.6599025974025974
22,winequality-red-3_vs_5,0.5145985401459854
23,vehicle3,0.6948361106024536
24,winequality-red-8_vs_6,0.515625
25,vehicle2,0.6235569985569985
26,vowel0,0.8763888888888889
27,shuttle-c2-vs-c4,0.5416666666666667
28,vehicle0,0.7112499999999999
29,shuttle-c0-vs-c4,0.5302753411306043
30,poker-9_vs_7,0.7234042553191489
31,segment0,0.5421066727884909
32,poker-8-9_vs_5,0.7378048780487805
33,page-blocks-1-3_vs_4,0.6807116104868913
34,shuttle-2_vs_5,0.9942660550458715
35,poker-8_vs_6,0.9867294520547945
36,poker-8-9_vs_6,0.7650684931506849
37,pimaImb,0.7041666666666666
38,shuttle-6_vs_2-3,0.7386363636363635
39,page-blocks0,0.532249128033716
40,iris0,0.7825
41,kr-vs-k-zero_vs_fifteen,0.7661662817551962
42,kr-vs-k-one_vs_fifteen,0.9051674364896074
43,lymphography-normal-fibrosis,0.9196428571428572
44,kr-vs-k-zero-one_vs_draw,0.5
45,kr-vs-k-three_vs_eleven,0.5464912280701755
46,new-thyroid1,0.7420634920634921
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.9166666666666667
48,kr-vs-k-zero_vs_eight,0.6095571095571095
49,new-thyroid2,0.9206349206349207
50,glass5,0.5548780487804879
51,glass2,0.6121794871794872
52,habermanImb,0.7366013071895425
53,glass1,0.5474537037037037
54,glass-0-6_vs_5,0.8
55,glass0,0.6268472906403941
56,glass4,0.8833333333333333
57,glass6,0.7882882882882882
58,glass-0-1-6_vs_5,0.9428571428571428
59,glass-0-4_vs_5,1.0
60,ecoli1,0.6959134615384615
61,glass-0-1-5_vs_2,0.814516129032258
62,ecoli3,0.6569086651053865
63,glass-0-1-2-3_vs_4-5-6,0.8323863636363636
64,flare-F,0.7373983739837398
65,glass-0-1-4-6_vs_2,0.5878378378378378
66,ecoli2,0.7065390749601276
67,ecoli-0_vs_1,0.6540229885057471
68,ecoli4,0.701171875
69,glass-0-1-6_vs_2,0.5678571428571428
70,ecoli-0-6-7_vs_5,0.815625
71,ecoli-0-2-6-7_vs_3-5,0.9175
72,ecoli-0-1_vs_2-3-5,0.5568181818181819
73,ecoli-0-2-3-4_vs_5,0.5439189189189191
74,ecoli-0-3-4-6_vs_5,0.7060810810810811
75,ecoli-0-3-4-7_vs_5-6,0.8361702127659574
76,ecoli-0-1_vs_5,0.5284090909090908
77,ecoli-0-6-7_vs_3-5,0.5700000000000001
78,ecoli-0-3-4_vs_5,0.9027777777777777
79,ecoli-0-4-6_vs_5,1.0
80,car-good,0.5
81,ecoli-0-1-3-7_vs_2-6,0.7227272727272728
82,abalone9-18,0.6372785829307568
83,ecoli-0-1-4-7_vs_2-3-5-6,0.5739247311827957
84,ecoli-0-1-4-6_vs_5,0.6057692307692307
85,ecoli-0-1-4-7_vs_5-6,0.646774193548387
86,car-vgood,0.5
87,dermatology-6,0.7463235294117647
88,cleveland-0_vs_4,0.6041666666666667
89,abalone19,0.53367511057499
90,abalone-21_vs_8,0.5891812865497077
91,abalone-19_vs_10-11-12-13,0.6408355795148248
92,abalone-20_vs_8-9-10,0.5180776014109347
93,abalone-3_vs_11,1.0
94,abalone-17_vs_7-8-9-10,0.5805007309941521
