,Database,AUC
0,yeast-2_vs_8,0.6290322580645161
1,zoo-3,0.6
2,yeast4,0.6921487603305785
3,yeast1,0.5269756420147691
4,yeast3,0.5321395775941231
5,yeast-2_vs_4,0.8626482213438735
6,yeast-1_vs_7,0.6065891472868217
7,yeast5,0.6475694444444444
8,yeast6,0.5955665024630542
9,yeast-1-4-5-8_vs_7,0.662907268170426
10,winequality-white-3_vs_7,0.9815340909090908
11,yeast-0-3-5-9_vs_7-8,0.5815217391304348
12,wisconsinImb,0.9705056179775281
13,winequality-white-9_vs_4,0.5454545454545454
14,winequality-white-3-9_vs_5,0.8085616438356165
15,yeast-1-2-8-9_vs_7,0.5942028985507246
16,yeast-0-5-6-7-9_vs_4,0.5253588516746412
17,winequality-red-8_vs_6-7,0.6706586826347305
18,yeast-0-2-5-6_vs_3-7-8-9,0.6288674033149171
19,yeast-0-2-5-7-9_vs_3-6-8,0.7060773480662983
20,winequality-red-4,0.5763459841129744
21,vehicle1,0.5963203463203463
22,winequality-red-3_vs_5,0.8540145985401459
23,vehicle3,0.5954037722028932
24,winequality-red-8_vs_6,0.7568359375
25,vehicle2,0.7076118326118327
26,vowel0,0.6376543209876544
27,shuttle-c2-vs-c4,1.0
28,vehicle0,0.5463461538461538
29,shuttle-c0-vs-c4,0.7217958089668616
30,poker-9_vs_7,0.9840425531914894
31,segment0,0.7727464034282217
32,poker-8-9_vs_5,0.7085365853658536
33,page-blocks-1-3_vs_4,0.6750936329588015
34,shuttle-2_vs_5,0.9840978593272172
35,poker-8_vs_6,0.8107876712328768
36,poker-8-9_vs_6,0.661986301369863
37,pimaImb,0.7200925925925925
38,shuttle-6_vs_2-3,0.9772727272727273
39,page-blocks0,0.6645245967155937
40,iris0,0.7775000000000001
41,kr-vs-k-zero_vs_fifteen,0.7551963048498845
42,kr-vs-k-one_vs_fifteen,0.8216657043879907
43,lymphography-normal-fibrosis,1.0
44,kr-vs-k-zero-one_vs_draw,0.7782738095238095
45,kr-vs-k-three_vs_eleven,0.820485036119711
46,new-thyroid1,0.7817460317460319
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.7133487654320987
48,kr-vs-k-zero_vs_eight,0.5976107226107226
49,new-thyroid2,0.9265873015873016
50,glass5,0.9634146341463414
51,glass2,0.5224358974358974
52,habermanImb,0.6627450980392157
53,glass1,0.5636574074074074
54,glass-0-6_vs_5,0.725
55,glass0,0.7610837438423645
56,glass4,0.8583333333333333
57,glass6,0.7207207207207207
58,glass-0-1-6_vs_5,0.7857142857142857
59,glass-0-4_vs_5,0.7352941176470588
60,ecoli1,0.6009615384615385
61,glass-0-1-5_vs_2,0.5362903225806451
62,ecoli3,0.5175644028103045
63,glass-0-1-2-3_vs_4-5-6,0.7599431818181819
64,flare-F,0.7804878048780488
65,glass-0-1-4-6_vs_2,0.6351351351351352
66,ecoli2,0.5598086124401913
67,ecoli-0_vs_1,0.7459770114942529
68,ecoli4,0.8046875
69,glass-0-1-6_vs_2,0.5321428571428571
70,ecoli-0-6-7_vs_5,0.83125
71,ecoli-0-2-6-7_vs_3-5,0.85
72,ecoli-0-1_vs_2-3-5,0.7954545454545454
73,ecoli-0-2-3-4_vs_5,0.8412162162162162
74,ecoli-0-3-4-6_vs_5,0.7702702702702703
75,ecoli-0-3-4-7_vs_5-6,0.6872340425531915
76,ecoli-0-1_vs_5,0.71875
77,ecoli-0-6-7_vs_3-5,0.98
78,ecoli-0-3-4_vs_5,0.7326388888888888
79,ecoli-0-4-6_vs_5,0.7837837837837838
80,car-good,0.5007530120481928
81,ecoli-0-1-3-7_vs_2-6,0.9227272727272727
82,abalone9-18,0.8792270531400965
83,ecoli-0-1-4-7_vs_2-3-5-6,0.7123655913978495
84,ecoli-0-1-4-6_vs_5,0.7932692307692308
85,ecoli-0-1-4-7_vs_5-6,0.717741935483871
86,car-vgood,0.503003003003003
87,dermatology-6,0.6856617647058824
88,cleveland-0_vs_4,0.9739583333333333
89,abalone19,0.6460595094491355
90,abalone-21_vs_8,0.9926900584795322
91,abalone-19_vs_10-11-12-13,0.5876010781671159
92,abalone-20_vs_8-9-10,0.845679012345679
93,abalone-3_vs_11,0.673469387755102
94,abalone-17_vs_7-8-9-10,0.8304093567251463
