,Database,AUC
0,yeast-2_vs_8,0.5147849462365591
1,zoo-3,0.85
2,yeast4,0.6768912905276542
3,yeast1,0.5072743304309489
4,yeast3,0.8394742883379247
5,yeast-2_vs_4,0.6467391304347826
6,yeast-1_vs_7,0.6773255813953489
7,yeast5,0.7366898148148149
8,yeast6,0.8519704433497537
9,yeast-1-4-5-8_vs_7,0.5394736842105263
10,winequality-white-3_vs_7,0.7549715909090909
11,yeast-0-3-5-9_vs_7-8,0.5402173913043478
12,wisconsinImb,0.8989934456928839
13,winequality-white-9_vs_4,0.8787878787878788
14,winequality-white-3-9_vs_5,0.6359589041095891
15,yeast-1-2-8-9_vs_7,0.5267210144927537
16,yeast-0-5-6-7-9_vs_4,0.7421052631578947
17,winequality-red-8_vs_6-7,0.5778443113772456
18,yeast-0-2-5-6_vs_3-7-8-9,0.7436464088397791
19,yeast-0-2-5-7-9_vs_3-6-8,0.7234806629834254
20,winequality-red-4,0.5742865548690791
21,vehicle1,0.5651154401154401
22,winequality-red-3_vs_5,0.9397810218978102
23,vehicle3,0.7163523164255631
24,winequality-red-8_vs_6,0.564453125
25,vehicle2,0.5798160173160173
26,vowel0,0.5609567901234569
27,shuttle-c2-vs-c4,0.5
28,vehicle0,0.8999999999999999
29,shuttle-c0-vs-c4,0.8687256335282652
30,poker-9_vs_7,0.7340425531914894
31,segment0,0.5818794000612182
32,poker-8-9_vs_5,0.8158536585365854
33,page-blocks-1-3_vs_4,0.6582397003745318
34,shuttle-2_vs_5,0.7389143730886849
35,poker-8_vs_6,0.8330479452054794
36,poker-8-9_vs_6,0.697945205479452
37,pimaImb,0.8227777777777778
38,shuttle-6_vs_2-3,0.9034090909090908
39,page-blocks0,0.5219535677953786
40,iris0,0.835
41,kr-vs-k-zero_vs_fifteen,0.7627020785219399
42,kr-vs-k-one_vs_fifteen,0.9087038106235565
43,lymphography-normal-fibrosis,0.9285714285714286
44,kr-vs-k-zero-one_vs_draw,0.5044642857142857
45,kr-vs-k-three_vs_eleven,0.5394736842105263
46,new-thyroid1,0.6349206349206349
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.9320987654320988
48,kr-vs-k-zero_vs_eight,0.6363636363636364
49,new-thyroid2,0.8353174603174602
50,glass5,0.5731707317073171
51,glass2,0.592948717948718
52,habermanImb,0.6869281045751634
53,glass1,0.5648148148148149
54,glass-0-6_vs_5,0.7625
55,glass0,0.6440886699507389
56,glass4,0.7250000000000001
57,glass6,0.7567567567567568
58,glass-0-1-6_vs_5,0.9571428571428571
59,glass-0-4_vs_5,1.0
60,ecoli1,0.8082932692307692
61,glass-0-1-5_vs_2,0.6693548387096775
62,ecoli3,0.9379391100702577
63,glass-0-1-2-3_vs_4-5-6,0.8110795454545454
64,flare-F,0.6959349593495934
65,glass-0-1-4-6_vs_2,0.6486486486486487
66,ecoli2,0.6140350877192984
67,ecoli-0_vs_1,0.9091954022988507
68,ecoli4,0.69140625
69,glass-0-1-6_vs_2,0.5857142857142857
70,ecoli-0-6-7_vs_5,0.8531249999999999
71,ecoli-0-2-6-7_vs_3-5,0.9675
72,ecoli-0-1_vs_2-3-5,0.6613636363636364
73,ecoli-0-2-3-4_vs_5,0.6891891891891893
74,ecoli-0-3-4-6_vs_5,0.6824324324324325
75,ecoli-0-3-4-7_vs_5-6,0.774468085106383
76,ecoli-0-1_vs_5,0.5880681818181819
77,ecoli-0-6-7_vs_3-5,0.5125
78,ecoli-0-3-4_vs_5,0.9305555555555556
79,ecoli-0-4-6_vs_5,0.9459459459459459
80,car-good,0.5
81,ecoli-0-1-3-7_vs_2-6,0.6090909090909091
82,abalone9-18,0.8675523349436394
83,ecoli-0-1-4-7_vs_2-3-5-6,0.5416666666666666
84,ecoli-0-1-4-6_vs_5,0.8173076923076923
85,ecoli-0-1-4-7_vs_5-6,0.682258064516129
86,car-vgood,0.5
87,dermatology-6,0.8143382352941176
88,cleveland-0_vs_4,0.6354166666666667
89,abalone19,0.5925814234016888
90,abalone-21_vs_8,0.5146198830409356
91,abalone-19_vs_10-11-12-13,0.6345462713387242
92,abalone-20_vs_8-9-10,0.5906084656084656
93,abalone-3_vs_11,1.0
94,abalone-17_vs_7-8-9-10,0.5969480994152047
