,Database,AUC
0,yeast-2_vs_8,0.6276881720430108
1,zoo-3,0.675
2,yeast4,0.6695804195804196
3,yeast1,0.545657445166979
4,yeast3,0.5202020202020201
5,yeast-2_vs_4,0.8488142292490118
6,yeast-1_vs_7,0.6153100775193798
7,yeast5,0.6496913580246914
8,yeast6,0.5339901477832512
9,yeast-1-4-5-8_vs_7,0.7105263157894737
10,winequality-white-3_vs_7,0.9737215909090908
11,yeast-0-3-5-9_vs_7-8,0.5630434782608695
12,wisconsinImb,0.9782303370786516
13,winequality-white-9_vs_4,0.6666666666666666
14,winequality-white-3-9_vs_5,0.7965753424657533
15,yeast-1-2-8-9_vs_7,0.6308876811594203
16,yeast-0-5-6-7-9_vs_4,0.5110047846889951
17,winequality-red-8_vs_6-7,0.5755988023952096
18,yeast-0-2-5-6_vs_3-7-8-9,0.6059392265193371
19,yeast-0-2-5-7-9_vs_3-6-8,0.6853591160220994
20,winequality-red-4,0.5819358634892615
21,vehicle1,0.5919913419913421
22,winequality-red-3_vs_5,0.8540145985401459
23,vehicle3,0.5638161508881158
24,winequality-red-8_vs_6,0.755859375
25,vehicle2,0.6987734487734487
26,vowel0,0.6373456790123457
27,shuttle-c2-vs-c4,1.0
28,vehicle0,0.56
29,shuttle-c0-vs-c4,0.7286793372319689
30,poker-9_vs_7,0.9893617021276595
31,segment0,0.761248852157943
32,poker-8-9_vs_5,0.7210975609756097
33,page-blocks-1-3_vs_4,0.7050561797752809
34,shuttle-2_vs_5,0.9859327217125382
35,poker-8_vs_6,0.8210616438356164
36,poker-8-9_vs_6,0.5797945205479451
37,pimaImb,0.7046296296296296
38,shuttle-6_vs_2-3,0.9772727272727273
39,page-blocks0,0.625592664583636
40,iris0,0.7625
41,kr-vs-k-zero_vs_fifteen,0.7115088529638184
42,kr-vs-k-one_vs_fifteen,0.7847863741339491
43,lymphography-normal-fibrosis,1.0
44,kr-vs-k-zero-one_vs_draw,0.7187074829931973
45,kr-vs-k-three_vs_eleven,0.8024767801857585
46,new-thyroid1,0.7242063492063493
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.7156635802469136
48,kr-vs-k-zero_vs_eight,0.6054778554778555
49,new-thyroid2,0.9047619047619048
50,glass5,0.9634146341463414
51,glass2,0.5833333333333333
52,habermanImb,0.6666666666666667
53,glass1,0.5787037037037037
54,glass-0-6_vs_5,0.7375
55,glass0,0.7413793103448276
56,glass4,0.8541666666666666
57,glass6,0.713963963963964
58,glass-0-1-6_vs_5,0.7571428571428571
59,glass-0-4_vs_5,0.7352941176470589
60,ecoli1,0.6262019230769231
61,glass-0-1-5_vs_2,0.5524193548387096
62,ecoli3,0.5187353629976581
63,glass-0-1-2-3_vs_4-5-6,0.7386363636363635
64,flare-F,0.7837398373983739
65,glass-0-1-4-6_vs_2,0.6351351351351351
66,ecoli2,0.5980861244019138
67,ecoli-0_vs_1,0.7666666666666667
68,ecoli4,0.814453125
69,glass-0-1-6_vs_2,0.5392857142857143
70,ecoli-0-6-7_vs_5,0.8531249999999999
71,ecoli-0-2-6-7_vs_3-5,0.915
72,ecoli-0-1_vs_2-3-5,0.8363636363636364
73,ecoli-0-2-3-4_vs_5,0.8547297297297297
74,ecoli-0-3-4-6_vs_5,0.8175675675675675
75,ecoli-0-3-4-7_vs_5-6,0.7021276595744681
76,ecoli-0-1_vs_5,0.7670454545454546
77,ecoli-0-6-7_vs_3-5,0.9875
78,ecoli-0-3-4_vs_5,0.7638888888888888
79,ecoli-0-4-6_vs_5,0.8243243243243243
80,car-good,0.5015060240963856
81,ecoli-0-1-3-7_vs_2-6,0.8818181818181817
82,abalone9-18,0.854669887278583
83,ecoli-0-1-4-7_vs_2-3-5-6,0.7553763440860215
84,ecoli-0-1-4-6_vs_5,0.846153846153846
85,ecoli-0-1-4-7_vs_5-6,0.7467741935483871
86,car-vgood,0.5007507507507507
87,dermatology-6,0.724264705882353
88,cleveland-0_vs_4,0.9895833333333334
89,abalone19,0.6238439887414555
90,abalone-21_vs_8,0.9912280701754386
91,abalone-19_vs_10-11-12-13,0.5667115902964959
92,abalone-20_vs_8-9-10,0.8538359788359788
93,abalone-3_vs_11,0.7091836734693877
94,abalone-17_vs_7-8-9-10,0.8338815789473685
