,Database,AUC
0,yeast-2_vs_8,0.6720430107526881
1,zoo-3,0.95
2,yeast4,0.829942784488239
3,yeast1,0.6302215364267607
4,yeast3,0.8694903581267218
5,yeast-2_vs_4,0.8112648221343873
6,yeast-1_vs_7,0.7044573643410853
7,yeast5,0.9145447530864197
8,yeast6,0.7504926108374383
9,yeast-1-4-5-8_vs_7,0.7005012531328321
10,winequality-white-3_vs_7,0.6875
11,yeast-0-3-5-9_vs_7-8,0.5342391304347827
12,wisconsinImb,0.9202364232209738
13,winequality-white-9_vs_4,0.7575757575757576
14,winequality-white-3-9_vs_5,0.5195205479452054
15,yeast-1-2-8-9_vs_7,0.7640398550724637
16,yeast-0-5-6-7-9_vs_4,0.7363636363636363
17,winequality-red-8_vs_6-7,0.5426646706586826
18,yeast-0-2-5-6_vs_3-7-8-9,0.7593922651933702
19,yeast-0-2-5-7-9_vs_3-6-8,0.7462707182320443
20,winequality-red-4,0.6135628125919388
21,vehicle1,0.6597222222222221
22,winequality-red-3_vs_5,0.5164233576642336
23,vehicle3,0.6934627357626808
24,winequality-red-8_vs_6,0.5185546875
25,vehicle2,0.6222041847041847
26,vowel0,0.8779320987654321
27,shuttle-c2-vs-c4,0.5208333333333334
28,vehicle0,0.7107692307692308
29,shuttle-c0-vs-c4,0.5302753411306043
30,poker-9_vs_7,0.7234042553191489
31,segment0,0.5412266605448424
32,poker-8-9_vs_5,0.73
33,page-blocks-1-3_vs_4,0.6797752808988764
34,shuttle-2_vs_5,0.9957951070336392
35,poker-8_vs_6,0.9867294520547945
36,poker-8-9_vs_6,0.7671232876712328
37,pimaImb,0.7040740740740741
38,shuttle-6_vs_2-3,0.7613636363636362
39,page-blocks0,0.5337296541200407
40,iris0,0.77
41,kr-vs-k-zero_vs_fifteen,0.7598152424942264
42,kr-vs-k-one_vs_fifteen,0.9045900692840647
43,lymphography-normal-fibrosis,0.9285714285714286
44,kr-vs-k-zero-one_vs_draw,0.509375
45,kr-vs-k-three_vs_eleven,0.5135964912280702
46,new-thyroid1,0.7301587301587302
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.9320987654320988
48,kr-vs-k-zero_vs_eight,0.6098484848484849
49,new-thyroid2,0.9246031746031746
50,glass5,0.5609756097560976
51,glass2,0.6025641025641026
52,habermanImb,0.7352941176470589
53,glass1,0.5474537037037037
54,glass-0-6_vs_5,0.85
55,glass0,0.6293103448275863
56,glass4,0.8875
57,glass6,0.7927927927927928
58,glass-0-1-6_vs_5,0.9428571428571428
59,glass-0-4_vs_5,1.0
60,ecoli1,0.6947115384615384
61,glass-0-1-5_vs_2,0.7903225806451613
62,ecoli3,0.6604215456674474
63,glass-0-1-2-3_vs_4-5-6,0.8267045454545454
64,flare-F,0.7428184281842818
65,glass-0-1-4-6_vs_2,0.5878378378378377
66,ecoli2,0.7248803827751196
67,ecoli-0_vs_1,0.6586206896551724
68,ecoli4,0.6796875
69,glass-0-1-6_vs_2,0.575
70,ecoli-0-6-7_vs_5,0.8125
71,ecoli-0-2-6-7_vs_3-5,0.9125000000000001
72,ecoli-0-1_vs_2-3-5,0.5568181818181819
73,ecoli-0-2-3-4_vs_5,0.5371621621621622
74,ecoli-0-3-4-6_vs_5,0.7128378378378379
75,ecoli-0-3-4-7_vs_5-6,0.8297872340425532
76,ecoli-0-1_vs_5,0.5568181818181819
77,ecoli-0-6-7_vs_3-5,0.585
78,ecoli-0-3-4_vs_5,0.9027777777777778
79,ecoli-0-4-6_vs_5,0.9966216216216216
80,car-good,0.5
81,ecoli-0-1-3-7_vs_2-6,0.6545454545454545
82,abalone9-18,0.6473429951690821
83,ecoli-0-1-4-7_vs_2-3-5-6,0.5698924731182795
84,ecoli-0-1-4-6_vs_5,0.6153846153846154
85,ecoli-0-1-4-7_vs_5-6,0.646774193548387
86,car-vgood,0.5
87,dermatology-6,0.7334558823529412
88,cleveland-0_vs_4,0.6041666666666667
89,abalone19,0.531664656212304
90,abalone-21_vs_8,0.5847953216374269
91,abalone-19_vs_10-11-12-13,0.6401617250673854
92,abalone-20_vs_8-9-10,0.5033068783068784
93,abalone-3_vs_11,0.9982993197278911
94,abalone-17_vs_7-8-9-10,0.5810489766081872
