,Database,AUC
0,yeast-2_vs_8,0.6236559139784946
1,zoo-3,0.6
2,yeast4,0.6859504132231404
3,yeast1,0.5261490135567067
4,yeast3,0.528064738292011
5,yeast-2_vs_4,0.8591897233201581
6,yeast-1_vs_7,0.6075581395348837
7,yeast5,0.6570216049382717
8,yeast6,0.5832512315270936
9,yeast-1-4-5-8_vs_7,0.6610275689223057
10,winequality-white-3_vs_7,0.9815340909090909
11,yeast-0-3-5-9_vs_7-8,0.5858695652173913
12,wisconsinImb,0.9699204119850187
13,winequality-white-9_vs_4,0.5606060606060606
14,winequality-white-3-9_vs_5,0.8085616438356165
15,yeast-1-2-8-9_vs_7,0.5928442028985508
16,yeast-0-5-6-7-9_vs_4,0.5253588516746411
17,winequality-red-8_vs_6-7,0.6669161676646707
18,yeast-0-2-5-6_vs_3-7-8-9,0.6276243093922652
19,yeast-0-2-5-7-9_vs_3-6-8,0.7064917127071824
20,winequality-red-4,0.5750220653133274
21,vehicle1,0.5937950937950938
22,winequality-red-3_vs_5,0.8521897810218978
23,vehicle3,0.5962277971067571
24,winequality-red-8_vs_6,0.751953125
25,vehicle2,0.7049062049062049
26,vowel0,0.6263888888888889
27,shuttle-c2-vs-c4,1.0
28,vehicle0,0.5421153846153846
29,shuttle-c0-vs-c4,0.7131457115009747
30,poker-9_vs_7,0.9840425531914894
31,segment0,0.7764003673094582
32,poker-8-9_vs_5,0.7051219512195122
33,page-blocks-1-3_vs_4,0.6610486891385768
34,shuttle-2_vs_5,0.9844036697247707
35,poker-8_vs_6,0.8116438356164384
36,poker-8-9_vs_6,0.6804794520547945
37,pimaImb,0.720462962962963
38,shuttle-6_vs_2-3,0.9772727272727273
39,page-blocks0,0.6655691396599333
40,iris0,0.775
41,kr-vs-k-zero_vs_fifteen,0.77752117013087
42,kr-vs-k-one_vs_fifteen,0.8324191685912241
43,lymphography-normal-fibrosis,1.0
44,kr-vs-k-zero-one_vs_draw,0.7933673469387755
45,kr-vs-k-three_vs_eleven,0.8231166150670794
46,new-thyroid1,0.7698412698412699
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.7060185185185186
48,kr-vs-k-zero_vs_eight,0.5894522144522145
49,new-thyroid2,0.9265873015873016
50,glass5,0.9634146341463414
51,glass2,0.5128205128205128
52,habermanImb,0.6594771241830065
53,glass1,0.5682870370370371
54,glass-0-6_vs_5,0.75
55,glass0,0.7647783251231527
56,glass4,0.8625
57,glass6,0.722972972972973
58,glass-0-1-6_vs_5,0.8
59,glass-0-4_vs_5,0.7058823529411764
60,ecoli1,0.6021634615384616
61,glass-0-1-5_vs_2,0.5362903225806451
62,ecoli3,0.5152224824355972
63,glass-0-1-2-3_vs_4-5-6,0.7556818181818181
64,flare-F,0.7837398373983739
65,glass-0-1-4-6_vs_2,0.6385135135135136
66,ecoli2,0.5598086124401913
67,ecoli-0_vs_1,0.7574712643678161
68,ecoli4,0.794921875
69,glass-0-1-6_vs_2,0.5321428571428571
70,ecoli-0-6-7_vs_5,0.828125
71,ecoli-0-2-6-7_vs_3-5,0.845
72,ecoli-0-1_vs_2-3-5,0.7795454545454545
73,ecoli-0-2-3-4_vs_5,0.8412162162162162
74,ecoli-0-3-4-6_vs_5,0.7702702702702703
75,ecoli-0-3-4-7_vs_5-6,0.7021276595744681
76,ecoli-0-1_vs_5,0.71875
77,ecoli-0-6-7_vs_3-5,0.975
78,ecoli-0-3-4_vs_5,0.7326388888888888
79,ecoli-0-4-6_vs_5,0.793918918918919
80,car-good,0.5751936316695354
81,ecoli-0-1-3-7_vs_2-6,0.85
82,abalone9-18,0.8784219001610305
83,ecoli-0-1-4-7_vs_2-3-5-6,0.7137096774193549
84,ecoli-0-1-4-6_vs_5,0.8100961538461539
85,ecoli-0-1-4-7_vs_5-6,0.7032258064516129
86,car-vgood,0.5
87,dermatology-6,0.6911764705882353
88,cleveland-0_vs_4,0.9479166666666666
89,abalone19,0.6488741455568958
90,abalone-21_vs_8,0.989766081871345
91,abalone-19_vs_10-11-12-13,0.5932165318957772
92,abalone-20_vs_8-9-10,0.8447971781305115
93,abalone-3_vs_11,0.6921768707482993
94,abalone-17_vs_7-8-9-10,0.8308662280701755
