,Database,AUC
0,yeast-2_vs_8,0.5147849462365591
1,zoo-3,0.85
2,yeast4,0.6765734265734267
3,yeast1,0.5058966163341783
4,yeast3,0.8427456382001837
5,yeast-2_vs_4,0.6437747035573123
6,yeast-1_vs_7,0.6773255813953489
7,yeast5,0.7318672839506173
8,yeast6,0.852463054187192
9,yeast-1-4-5-8_vs_7,0.5494987468671679
10,winequality-white-3_vs_7,0.7578125
11,yeast-0-3-5-9_vs_7-8,0.5402173913043478
12,wisconsinImb,0.9029728464419475
13,winequality-white-9_vs_4,0.8787878787878788
14,winequality-white-3-9_vs_5,0.6383561643835616
15,yeast-1-2-8-9_vs_7,0.5307971014492754
16,yeast-0-5-6-7-9_vs_4,0.7454545454545454
17,winequality-red-8_vs_6-7,0.5770958083832336
18,yeast-0-2-5-6_vs_3-7-8-9,0.743646408839779
19,yeast-0-2-5-7-9_vs_3-6-8,0.7255524861878453
20,winequality-red-4,0.5717858193586349
21,vehicle1,0.5602453102453102
22,winequality-red-3_vs_5,0.9416058394160584
23,vehicle3,0.7167185497161692
24,winequality-red-8_vs_6,0.5615234375
25,vehicle2,0.5819805194805195
26,vowel0,0.5629629629629629
27,shuttle-c2-vs-c4,0.53125
28,vehicle0,0.9007692307692308
29,shuttle-c0-vs-c4,0.8827363547758285
30,poker-9_vs_7,0.7287234042553191
31,segment0,0.5823194061830426
32,poker-8-9_vs_5,0.8217073170731708
33,page-blocks-1-3_vs_4,0.6619850187265918
34,shuttle-2_vs_5,0.7522935779816513
35,poker-8_vs_6,0.8112157534246576
36,poker-8-9_vs_6,0.7023972602739725
37,pimaImb,0.8233333333333334
38,shuttle-6_vs_2-3,0.9147727272727273
39,page-blocks0,0.5182250036331929
40,iris0,0.8525
41,kr-vs-k-zero_vs_fifteen,0.7586605080831408
42,kr-vs-k-one_vs_fifteen,0.9073686489607391
43,lymphography-normal-fibrosis,0.9285714285714286
44,kr-vs-k-zero-one_vs_draw,0.5013392857142858
45,kr-vs-k-three_vs_eleven,0.5425438596491228
46,new-thyroid1,0.625
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.9320987654320988
48,kr-vs-k-zero_vs_eight,0.6305361305361306
49,new-thyroid2,0.8373015873015873
50,glass5,0.5731707317073171
51,glass2,0.5833333333333333
52,habermanImb,0.6836601307189543
53,glass1,0.5590277777777777
54,glass-0-6_vs_5,0.6
55,glass0,0.6391625615763546
56,glass4,0.7208333333333333
57,glass6,0.759009009009009
58,glass-0-1-6_vs_5,0.9571428571428571
59,glass-0-4_vs_5,1.0
60,ecoli1,0.8100961538461537
61,glass-0-1-5_vs_2,0.6774193548387097
62,ecoli3,0.9367681498829039
63,glass-0-1-2-3_vs_4-5-6,0.8096590909090909
64,flare-F,0.6959349593495934
65,glass-0-1-4-6_vs_2,0.6418918918918919
66,ecoli2,0.6148325358851675
67,ecoli-0_vs_1,0.9114942528735632
68,ecoli4,0.69140625
69,glass-0-1-6_vs_2,0.575
70,ecoli-0-6-7_vs_5,0.8374999999999999
71,ecoli-0-2-6-7_vs_3-5,0.9624999999999999
72,ecoli-0-1_vs_2-3-5,0.6613636363636364
73,ecoli-0-2-3-4_vs_5,0.6925675675675675
74,ecoli-0-3-4-6_vs_5,0.6858108108108109
75,ecoli-0-3-4-7_vs_5-6,0.7680851063829788
76,ecoli-0-1_vs_5,0.59375
77,ecoli-0-6-7_vs_3-5,0.51
78,ecoli-0-3-4_vs_5,0.9305555555555556
79,ecoli-0-4-6_vs_5,0.9459459459459459
80,car-good,0.5
81,ecoli-0-1-3-7_vs_2-6,0.5954545454545455
82,abalone9-18,0.8639291465378423
83,ecoli-0-1-4-7_vs_2-3-5-6,0.5403225806451613
84,ecoli-0-1-4-6_vs_5,0.8125
85,ecoli-0-1-4-7_vs_5-6,0.6774193548387097
86,car-vgood,0.5
87,dermatology-6,0.8125
88,cleveland-0_vs_4,0.6302083333333334
89,abalone19,0.5948934459187776
90,abalone-21_vs_8,0.5307017543859649
91,abalone-19_vs_10-11-12-13,0.6363432165318958
92,abalone-20_vs_8-9-10,0.584215167548501
93,abalone-3_vs_11,1.0
94,abalone-17_vs_7-8-9-10,0.5964912280701754
