,Database,AUC
0,yeast-2_vs_8,0.6290322580645161
1,zoo-3,0.675
2,yeast4,0.663858868404323
3,yeast1,0.5454370109114957
4,yeast3,0.5221533516988062
5,yeast-2_vs_4,0.8473320158102766
6,yeast-1_vs_7,0.6114341085271318
7,yeast5,0.6572145061728395
8,yeast6,0.5270935960591132
9,yeast-1-4-5-8_vs_7,0.6986215538847118
10,winequality-white-3_vs_7,0.9765625
11,yeast-0-3-5-9_vs_7-8,0.5679347826086957
12,wisconsinImb,0.977879213483146
13,winequality-white-9_vs_4,0.6212121212121212
14,winequality-white-3-9_vs_5,0.7986301369863014
15,yeast-1-2-8-9_vs_7,0.6268115942028986
16,yeast-0-5-6-7-9_vs_4,0.5062200956937799
17,winequality-red-8_vs_6-7,0.5741017964071856
18,yeast-0-2-5-6_vs_3-7-8-9,0.6091160220994476
19,yeast-0-2-5-7-9_vs_3-6-8,0.6835635359116022
20,winequality-red-4,0.5866431303324507
21,vehicle1,0.5863997113997114
22,winequality-red-3_vs_5,0.8558394160583942
23,vehicle3,0.5669291338582676
24,winequality-red-8_vs_6,0.744140625
25,vehicle2,0.6976010101010102
26,vowel0,0.6032407407407407
27,shuttle-c2-vs-c4,1.0
28,vehicle0,0.5605769230769231
29,shuttle-c0-vs-c4,0.737390350877193
30,poker-9_vs_7,0.9893617021276595
31,segment0,0.7663376186103459
32,poker-8-9_vs_5,0.719390243902439
33,page-blocks-1-3_vs_4,0.6947565543071161
34,shuttle-2_vs_5,0.9842507645259939
35,poker-8_vs_6,0.8163527397260274
36,poker-8-9_vs_6,0.6102739726027397
37,pimaImb,0.7032407407407407
38,shuttle-6_vs_2-3,0.9772727272727273
39,page-blocks0,0.6294052463304752
40,iris0,0.7975000000000001
41,kr-vs-k-zero_vs_fifteen,0.7126635873749038
42,kr-vs-k-one_vs_fifteen,0.8082419168591224
43,lymphography-normal-fibrosis,1.0
44,kr-vs-k-zero-one_vs_draw,0.7276360544217686
45,kr-vs-k-three_vs_eleven,0.8015479876160991
46,new-thyroid1,0.7222222222222222
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.7037037037037037
48,kr-vs-k-zero_vs_eight,0.6296620046620047
49,new-thyroid2,0.9027777777777778
50,glass5,0.9634146341463414
51,glass2,0.5897435897435896
52,habermanImb,0.6640522875816993
53,glass1,0.5740740740740741
54,glass-0-6_vs_5,0.7375
55,glass0,0.7389162561576355
56,glass4,0.8541666666666666
57,glass6,0.7162162162162162
58,glass-0-1-6_vs_5,0.7785714285714286
59,glass-0-4_vs_5,0.7352941176470589
60,ecoli1,0.6256009615384616
61,glass-0-1-5_vs_2,0.5483870967741935
62,ecoli3,0.5175644028103045
63,glass-0-1-2-3_vs_4-5-6,0.7400568181818181
64,flare-F,0.8252032520325203
65,glass-0-1-4-6_vs_2,0.6452702702702702
66,ecoli2,0.6044657097288676
67,ecoli-0_vs_1,0.7666666666666666
68,ecoli4,0.80859375
69,glass-0-1-6_vs_2,0.5357142857142857
70,ecoli-0-6-7_vs_5,0.846875
71,ecoli-0-2-6-7_vs_3-5,0.9125000000000001
72,ecoli-0-1_vs_2-3-5,0.825
73,ecoli-0-2-3-4_vs_5,0.8513513513513513
74,ecoli-0-3-4-6_vs_5,0.8175675675675675
75,ecoli-0-3-4-7_vs_5-6,0.7063829787234043
76,ecoli-0-1_vs_5,0.7613636363636364
77,ecoli-0-6-7_vs_3-5,0.99
78,ecoli-0-3-4_vs_5,0.7673611111111112
79,ecoli-0-4-6_vs_5,0.8141891891891891
80,car-good,0.5022590361445783
81,ecoli-0-1-3-7_vs_2-6,0.8818181818181817
82,abalone9-18,0.8703703703703705
83,ecoli-0-1-4-7_vs_2-3-5-6,0.7379032258064516
84,ecoli-0-1-4-6_vs_5,0.8317307692307692
85,ecoli-0-1-4-7_vs_5-6,0.732258064516129
86,car-vgood,0.5022522522522523
87,dermatology-6,0.7205882352941176
88,cleveland-0_vs_4,0.9895833333333334
89,abalone19,0.6242460796139928
90,abalone-21_vs_8,0.9941520467836257
91,abalone-19_vs_10-11-12-13,0.5669362084456424
92,abalone-20_vs_8-9-10,0.8520723104056437
93,abalone-3_vs_11,0.7142857142857142
94,abalone-17_vs_7-8-9-10,0.8339729532163742
