,Database,AUC
0,yeast-2_vs_8,0.6290322580645161
1,zoo-3,0.6
2,yeast4,0.6861093452002542
3,yeast1,0.5295932987986334
4,yeast3,0.5331726354453628
5,yeast-2_vs_4,0.858201581027668
6,yeast-1_vs_7,0.6027131782945736
7,yeast5,0.6512345679012346
8,yeast6,0.5839901477832512
9,yeast-1-4-5-8_vs_7,0.6735588972431078
10,winequality-white-3_vs_7,0.9808238636363635
11,yeast-0-3-5-9_vs_7-8,0.5864130434782608
12,wisconsinImb,0.9707397003745318
13,winequality-white-9_vs_4,0.5757575757575757
14,winequality-white-3-9_vs_5,0.8044520547945205
15,yeast-1-2-8-9_vs_7,0.5964673913043479
16,yeast-0-5-6-7-9_vs_4,0.5234449760765549
17,winequality-red-8_vs_6-7,0.6714071856287425
18,yeast-0-2-5-6_vs_3-7-8-9,0.6323204419889503
19,yeast-0-2-5-7-9_vs_3-6-8,0.7077348066298343
20,winequality-red-4,0.5772285966460724
21,vehicle1,0.5937950937950938
22,winequality-red-3_vs_5,0.8540145985401459
23,vehicle3,0.5970518220106208
24,winequality-red-8_vs_6,0.751953125
25,vehicle2,0.7062590187590188
26,vowel0,0.6189814814814814
27,shuttle-c2-vs-c4,1.0
28,vehicle0,0.5460576923076923
29,shuttle-c0-vs-c4,0.7002314814814815
30,poker-9_vs_7,0.9893617021276595
31,segment0,0.7735498928680746
32,poker-8-9_vs_5,0.7165853658536585
33,page-blocks-1-3_vs_4,0.6750936329588015
34,shuttle-2_vs_5,0.9847094801223242
35,poker-8_vs_6,0.8377568493150684
36,poker-8-9_vs_6,0.686986301369863
37,pimaImb,0.7176851851851852
38,shuttle-6_vs_2-3,0.9772727272727273
39,page-blocks0,0.662610358232815
40,iris0,0.775
41,kr-vs-k-zero_vs_fifteen,0.7553887605850655
42,kr-vs-k-one_vs_fifteen,0.7932303695150116
43,lymphography-normal-fibrosis,1.0
44,kr-vs-k-zero-one_vs_draw,0.7781037414965987
45,kr-vs-k-three_vs_eleven,0.8189370485036119
46,new-thyroid1,0.7777777777777778
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.7037037037037037
48,kr-vs-k-zero_vs_eight,0.615967365967366
49,new-thyroid2,0.9226190476190477
50,glass5,0.9634146341463414
51,glass2,0.5192307692307692
52,habermanImb,0.6640522875816994
53,glass1,0.5717592592592593
54,glass-0-6_vs_5,0.7375
55,glass0,0.7573891625615763
56,glass4,0.8583333333333333
57,glass6,0.704954954954955
58,glass-0-1-6_vs_5,0.8
59,glass-0-4_vs_5,0.7058823529411764
60,ecoli1,0.6009615384615384
61,glass-0-1-5_vs_2,0.5362903225806451
62,ecoli3,0.5199063231850117
63,glass-0-1-2-3_vs_4-5-6,0.7528409090909092
64,flare-F,0.8116531165311653
65,glass-0-1-4-6_vs_2,0.6317567567567568
66,ecoli2,0.5637958532695375
67,ecoli-0_vs_1,0.7494252873563219
68,ecoli4,0.80859375
69,glass-0-1-6_vs_2,0.5321428571428571
70,ecoli-0-6-7_vs_5,0.83125
71,ecoli-0-2-6-7_vs_3-5,0.875
72,ecoli-0-1_vs_2-3-5,0.7818181818181817
73,ecoli-0-2-3-4_vs_5,0.8445945945945946
74,ecoli-0-3-4-6_vs_5,0.8006756756756757
75,ecoli-0-3-4-7_vs_5-6,0.7
76,ecoli-0-1_vs_5,0.71875
77,ecoli-0-6-7_vs_3-5,0.9775
78,ecoli-0-3-4_vs_5,0.7361111111111112
79,ecoli-0-4-6_vs_5,0.8006756756756757
80,car-good,0.5015060240963856
81,ecoli-0-1-3-7_vs_2-6,0.9090909090909091
82,abalone9-18,0.8784219001610306
83,ecoli-0-1-4-7_vs_2-3-5-6,0.7137096774193549
84,ecoli-0-1-4-6_vs_5,0.7956730769230769
85,ecoli-0-1-4-7_vs_5-6,0.7145161290322581
86,car-vgood,0.5015015015015015
87,dermatology-6,0.6911764705882353
88,cleveland-0_vs_4,0.96875
89,abalone19,0.6500804181745075
90,abalone-21_vs_8,0.9912280701754386
91,abalone-19_vs_10-11-12-13,0.5842318059299192
92,abalone-20_vs_8-9-10,0.8414902998236332
93,abalone-3_vs_11,0.6972789115646258
94,abalone-17_vs_7-8-9-10,0.8266630116959064
