,Database,AUC
0,yeast-2_vs_8,0.6478494623655914
1,zoo-3,0.6
2,yeast4,0.7345835982199618
3,yeast1,0.5529042213159925
4,yeast3,0.5878099173553719
5,yeast-2_vs_4,0.8725296442687747
6,yeast-1_vs_7,0.6647286821705427
7,yeast5,0.7264660493827161
8,yeast6,0.7724137931034483
9,yeast-1-4-5-8_vs_7,0.6992481203007519
10,winequality-white-3_vs_7,0.984375
11,yeast-0-3-5-9_vs_7-8,0.5652173913043479
12,wisconsinImb,0.9620786516853933
13,winequality-white-9_vs_4,0.6363636363636364
14,winequality-white-3-9_vs_5,0.6561643835616439
15,yeast-1-2-8-9_vs_7,0.5543478260869565
16,yeast-0-5-6-7-9_vs_4,0.5110047846889952
17,winequality-red-8_vs_6-7,0.7859281437125749
18,yeast-0-2-5-6_vs_3-7-8-9,0.7182320441988951
19,yeast-0-2-5-7-9_vs_3-6-8,0.683425414364641
20,winequality-red-4,0.5054427772874375
21,vehicle1,0.5972222222222222
22,winequality-red-3_vs_5,0.9051094890510949
23,vehicle3,0.5277421717634132
24,winequality-red-8_vs_6,0.76171875
25,vehicle2,0.6551226551226552
26,vowel0,0.8092592592592592
27,shuttle-c2-vs-c4,1.0
28,vehicle0,0.5063461538461538
29,shuttle-c0-vs-c4,0.9953703703703703
30,poker-9_vs_7,0.9468085106382979
31,segment0,0.7340832568105294
32,poker-8-9_vs_5,0.5414634146341464
33,page-blocks-1-3_vs_4,0.6104868913857678
34,shuttle-2_vs_5,0.986697247706422
35,poker-8_vs_6,0.7089041095890412
36,poker-8-9_vs_6,0.7198630136986301
37,pimaImb,0.7031481481481481
38,shuttle-6_vs_2-3,0.9772727272727273
39,page-blocks0,0.9108596134282808
40,iris0,0.51
41,kr-vs-k-zero_vs_fifteen,1.0
42,kr-vs-k-one_vs_fifteen,1.0
43,lymphography-normal-fibrosis,0.9107142857142858
44,kr-vs-k-zero-one_vs_draw,0.9696428571428571
45,kr-vs-k-three_vs_eleven,0.8013415892672858
46,new-thyroid1,0.7222222222222222
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.7106481481481481
48,kr-vs-k-zero_vs_eight,0.7051282051282051
49,new-thyroid2,0.8888888888888888
50,glass5,0.8414634146341464
51,glass2,0.5576923076923077
52,habermanImb,0.5006535947712418
53,glass1,0.5578703703703703
54,glass-0-6_vs_5,0.55
55,glass0,0.7192118226600985
56,glass4,0.7083333333333333
57,glass6,0.8648648648648649
58,glass-0-1-6_vs_5,0.6285714285714286
59,glass-0-4_vs_5,0.7941176470588235
60,ecoli1,0.5877403846153846
61,glass-0-1-5_vs_2,0.5806451612903226
62,ecoli3,0.6557377049180328
63,glass-0-1-2-3_vs_4-5-6,0.7556818181818181
64,flare-F,0.8845528455284553
65,glass-0-1-4-6_vs_2,0.527027027027027
66,ecoli2,0.5948963317384369
67,ecoli-0_vs_1,0.7034482758620689
68,ecoli4,0.8515625
69,glass-0-1-6_vs_2,0.6285714285714286
70,ecoli-0-6-7_vs_5,0.6375
71,ecoli-0-2-6-7_vs_3-5,0.89
72,ecoli-0-1_vs_2-3-5,0.8863636363636364
73,ecoli-0-2-3-4_vs_5,0.8445945945945946
74,ecoli-0-3-4-6_vs_5,0.722972972972973
75,ecoli-0-3-4-7_vs_5-6,0.7702127659574468
76,ecoli-0-1_vs_5,0.7102272727272727
77,ecoli-0-6-7_vs_3-5,0.85
78,ecoli-0-3-4_vs_5,0.8194444444444444
79,ecoli-0-4-6_vs_5,0.7770270270270271
80,car-good,0.5830464716006885
81,ecoli-0-1-3-7_vs_2-6,0.9818181818181818
82,abalone9-18,0.9074074074074074
83,ecoli-0-1-4-7_vs_2-3-5-6,0.75
84,ecoli-0-1-4-6_vs_5,0.8125
85,ecoli-0-1-4-7_vs_5-6,0.7193548387096774
86,car-vgood,0.6174636174636174
87,dermatology-6,0.9264705882352942
88,cleveland-0_vs_4,0.9895833333333334
89,abalone19,0.5868516284680337
90,abalone-21_vs_8,0.9853801169590644
91,abalone-19_vs_10-11-12-13,0.6159029649595688
92,abalone-20_vs_8-9-10,0.8540564373897708
93,abalone-3_vs_11,0.9829931972789115
94,abalone-17_vs_7-8-9-10,0.8055555555555556
