,Database,AUC
0,yeast-2_vs_8,0.5967741935483871
1,zoo-3,0.575
2,yeast4,0.7321996185632549
3,yeast1,0.5510856387082552
4,yeast3,0.5366161616161615
5,yeast-2_vs_4,0.9071146245059288
6,yeast-1_vs_7,0.6017441860465116
7,yeast5,0.8134645061728395
8,yeast6,0.819704433497537
9,yeast-1-4-5-8_vs_7,0.7324561403508771
10,winequality-white-3_vs_7,0.9559659090909091
11,yeast-0-3-5-9_vs_7-8,0.5793478260869565
12,wisconsinImb,0.9854868913857677
13,winequality-white-9_vs_4,0.6666666666666667
14,winequality-white-3-9_vs_5,0.5592465753424658
15,yeast-1-2-8-9_vs_7,0.5588768115942029
16,yeast-0-5-6-7-9_vs_4,0.5641148325358851
17,winequality-red-8_vs_6-7,0.7275449101796407
18,yeast-0-2-5-6_vs_3-7-8-9,0.776657458563536
19,yeast-0-2-5-7-9_vs_3-6-8,0.7396408839779005
20,winequality-red-4,0.5301559282141806
21,vehicle1,0.58008658008658
22,winequality-red-3_vs_5,0.8558394160583942
23,vehicle3,0.6018128547885002
24,winequality-red-8_vs_6,0.71875
25,vehicle2,0.6392496392496393
26,vowel0,0.953395061728395
27,shuttle-c2-vs-c4,1.0
28,vehicle0,0.5834615384615385
29,shuttle-c0-vs-c4,0.9993299220272904
30,poker-9_vs_7,0.824468085106383
31,segment0,0.7955119375573921
32,poker-8-9_vs_5,0.5487804878048781
33,page-blocks-1-3_vs_4,0.8417602996254682
34,shuttle-2_vs_5,0.9973241590214068
35,poker-8_vs_6,0.6386986301369864
36,poker-8-9_vs_6,0.6537671232876712
37,pimaImb,0.7027777777777778
38,shuttle-6_vs_2-3,0.9431818181818182
39,page-blocks0,0.8930842174102601
40,iris0,0.54
41,kr-vs-k-zero_vs_fifteen,0.9913394919168591
42,kr-vs-k-one_vs_fifteen,0.992277713625866
43,lymphography-normal-fibrosis,1.0
44,kr-vs-k-zero-one_vs_draw,0.6106292517006802
45,kr-vs-k-three_vs_eleven,0.7826109391124871
46,new-thyroid1,0.7103174603174603
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.7253086419753086
48,kr-vs-k-zero_vs_eight,0.7768065268065267
49,new-thyroid2,0.9186507936507937
50,glass5,0.8414634146341464
51,glass2,0.7596153846153847
52,habermanImb,0.5941176470588234
53,glass1,0.5231481481481481
54,glass-0-6_vs_5,0.6875
55,glass0,0.7364532019704433
56,glass4,0.7166666666666668
57,glass6,0.8716216216216217
58,glass-0-1-6_vs_5,0.7285714285714286
59,glass-0-4_vs_5,0.7058823529411765
60,ecoli1,0.6670673076923077
61,glass-0-1-5_vs_2,0.5483870967741935
62,ecoli3,0.6990632318501171
63,glass-0-1-2-3_vs_4-5-6,0.8721590909090908
64,flare-F,0.8146341463414635
65,glass-0-1-4-6_vs_2,0.7297297297297297
66,ecoli2,0.5143540669856459
67,ecoli-0_vs_1,0.8183908045977012
68,ecoli4,0.796875
69,glass-0-1-6_vs_2,0.625
70,ecoli-0-6-7_vs_5,0.653125
71,ecoli-0-2-6-7_vs_3-5,0.85
72,ecoli-0-1_vs_2-3-5,0.9454545454545454
73,ecoli-0-2-3-4_vs_5,0.8108108108108107
74,ecoli-0-3-4-6_vs_5,0.8006756756756757
75,ecoli-0-3-4-7_vs_5-6,0.7425531914893617
76,ecoli-0-1_vs_5,0.7556818181818181
77,ecoli-0-6-7_vs_3-5,0.8574999999999999
78,ecoli-0-3-4_vs_5,0.8611111111111112
79,ecoli-0-4-6_vs_5,0.7702702702702703
80,car-good,0.5368975903614458
81,ecoli-0-1-3-7_vs_2-6,0.9772727272727273
82,abalone9-18,0.8317230273752012
83,ecoli-0-1-4-7_vs_2-3-5-6,0.7553763440860215
84,ecoli-0-1-4-6_vs_5,0.8413461538461539
85,ecoli-0-1-4-7_vs_5-6,0.6887096774193548
86,car-vgood,0.5415800415800416
87,dermatology-6,0.869485294117647
88,cleveland-0_vs_4,0.984375
89,abalone19,0.7284881383192602
90,abalone-21_vs_8,0.9415204678362572
91,abalone-19_vs_10-11-12-13,0.6343216531895777
92,abalone-20_vs_8-9-10,0.6726190476190477
93,abalone-3_vs_11,0.9931972789115646
94,abalone-17_vs_7-8-9-10,0.7231359649122807
