,Database,AUC
0,yeast-2_vs_8,0.5779569892473119
1,zoo-3,0.95
2,yeast4,0.764780673871583
3,yeast1,0.555273889562438
4,yeast3,0.5153810835629018
5,yeast-2_vs_4,0.9268774703557312
6,yeast-1_vs_7,0.7131782945736433
7,yeast5,0.8680555555555556
8,yeast6,0.8665024630541872
9,yeast-1-4-5-8_vs_7,0.6892230576441103
10,winequality-white-3_vs_7,0.8934659090909091
11,yeast-0-3-5-9_vs_7-8,0.5728260869565217
12,wisconsinImb,0.9398408239700374
13,winequality-white-9_vs_4,0.6363636363636364
14,winequality-white-3-9_vs_5,0.5321917808219179
15,yeast-1-2-8-9_vs_7,0.5552536231884058
16,yeast-0-5-6-7-9_vs_4,0.569377990430622
17,winequality-red-8_vs_6-7,0.7200598802395209
18,yeast-0-2-5-6_vs_3-7-8-9,0.7704419889502763
19,yeast-0-2-5-7-9_vs_3-6-8,0.7856353591160221
20,winequality-red-4,0.5383936451897617
21,vehicle1,0.5297619047619048
22,winequality-red-3_vs_5,0.7737226277372262
23,vehicle3,0.5495330525544773
24,winequality-red-8_vs_6,0.71875
25,vehicle2,0.5883838383838383
26,vowel0,0.9645061728395061
27,shuttle-c2-vs-c4,0.9583333333333333
28,vehicle0,0.6532692307692307
29,shuttle-c0-vs-c4,0.9772173489278753
30,poker-9_vs_7,0.7340425531914894
31,segment0,0.8073921028466484
32,poker-8-9_vs_5,0.5736585365853658
33,page-blocks-1-3_vs_4,0.6048689138576777
34,shuttle-2_vs_5,0.9912844036697248
35,poker-8_vs_6,0.6986301369863014
36,poker-8-9_vs_6,0.6417808219178083
37,pimaImb,0.6333333333333333
38,shuttle-6_vs_2-3,0.8409090909090909
39,page-blocks0,0.9002597732887662
40,iris0,0.605
41,kr-vs-k-zero_vs_fifteen,1.0
42,kr-vs-k-one_vs_fifteen,0.9994226327944573
43,lymphography-normal-fibrosis,1.0
44,kr-vs-k-zero-one_vs_draw,0.6358843537414967
45,kr-vs-k-three_vs_eleven,0.7623323013415892
46,new-thyroid1,0.7698412698412698
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.7723765432098766
48,kr-vs-k-zero_vs_eight,0.6148018648018648
49,new-thyroid2,0.9246031746031746
50,glass5,0.8292682926829269
51,glass2,0.8205128205128205
52,habermanImb,0.5633986928104576
53,glass1,0.5648148148148149
54,glass-0-6_vs_5,0.675
55,glass0,0.7512315270935961
56,glass4,0.625
57,glass6,0.8873873873873874
58,glass-0-1-6_vs_5,0.5857142857142856
59,glass-0-4_vs_5,0.5294117647058824
60,ecoli1,0.6021634615384615
61,glass-0-1-5_vs_2,0.532258064516129
62,ecoli3,0.6861826697892272
63,glass-0-1-2-3_vs_4-5-6,0.75
64,flare-F,0.8498644986449865
65,glass-0-1-4-6_vs_2,0.7702702702702703
66,ecoli2,0.5311004784688995
67,ecoli-0_vs_1,0.6804597701149426
68,ecoli4,0.7578125
69,glass-0-1-6_vs_2,0.6928571428571428
70,ecoli-0-6-7_vs_5,0.5875
71,ecoli-0-2-6-7_vs_3-5,0.87
72,ecoli-0-1_vs_2-3-5,0.8818181818181818
73,ecoli-0-2-3-4_vs_5,0.8175675675675675
74,ecoli-0-3-4-6_vs_5,0.722972972972973
75,ecoli-0-3-4-7_vs_5-6,0.7659574468085106
76,ecoli-0-1_vs_5,0.6534090909090909
77,ecoli-0-6-7_vs_3-5,0.825
78,ecoli-0-3-4_vs_5,0.8194444444444444
79,ecoli-0-4-6_vs_5,0.75
80,car-good,0.6540447504302926
81,ecoli-0-1-3-7_vs_2-6,0.9818181818181818
82,abalone9-18,0.7673107890499196
83,ecoli-0-1-4-7_vs_2-3-5-6,0.7016129032258065
84,ecoli-0-1-4-6_vs_5,0.7932692307692307
85,ecoli-0-1-4-7_vs_5-6,0.635483870967742
86,car-vgood,0.5301455301455301
87,dermatology-6,0.8492647058823529
88,cleveland-0_vs_4,0.96875
89,abalone19,0.7460796139927623
90,abalone-21_vs_8,0.8918128654970761
91,abalone-19_vs_10-11-12-13,0.6509433962264151
92,abalone-20_vs_8-9-10,0.5180776014109347
93,abalone-3_vs_11,1.0
94,abalone-17_vs_7-8-9-10,0.5047514619883041
