,Database,AUC
0,yeast-2_vs_8,0.6263440860215054
1,zoo-3,0.6
2,yeast4,0.689446916719644
3,yeast1,0.5286288989308938
4,yeast3,0.5289830119375574
5,yeast-2_vs_4,0.8621541501976284
6,yeast-1_vs_7,0.6075581395348837
7,yeast5,0.6520061728395061
8,yeast6,0.5977832512315271
9,yeast-1-4-5-8_vs_7,0.6541353383458647
10,winequality-white-3_vs_7,0.9815340909090908
11,yeast-0-3-5-9_vs_7-8,0.5874999999999999
12,wisconsinImb,0.9708567415730337
13,winequality-white-9_vs_4,0.5909090909090909
14,winequality-white-3-9_vs_5,0.8058219178082192
15,yeast-1-2-8-9_vs_7,0.592391304347826
16,yeast-0-5-6-7-9_vs_4,0.5210526315789473
17,winequality-red-8_vs_6-7,0.6504491017964072
18,yeast-0-2-5-6_vs_3-7-8-9,0.6299723756906077
19,yeast-0-2-5-7-9_vs_3-6-8,0.7066298342541437
20,winequality-red-4,0.5689908796704913
21,vehicle1,0.5985750360750361
22,winequality-red-3_vs_5,0.8576642335766423
23,vehicle3,0.594854422266984
24,winequality-red-8_vs_6,0.744140625
25,vehicle2,0.7106782106782107
26,vowel0,0.6228395061728396
27,shuttle-c2-vs-c4,1.0
28,vehicle0,0.5425
29,shuttle-c0-vs-c4,0.71875
30,poker-9_vs_7,0.9840425531914894
31,segment0,0.7745446893174166
32,poker-8-9_vs_5,0.7092682926829268
33,page-blocks-1-3_vs_4,0.6694756554307116
34,shuttle-2_vs_5,0.9841743119266055
35,poker-8_vs_6,0.8090753424657534
36,poker-8-9_vs_6,0.6770547945205478
37,pimaImb,0.7187962962962964
38,shuttle-6_vs_2-3,0.9772727272727273
39,page-blocks0,0.6658915855253598
40,iris0,0.7775000000000001
41,kr-vs-k-zero_vs_fifteen,0.7448036951501156
42,kr-vs-k-one_vs_fifteen,0.8200779445727483
43,lymphography-normal-fibrosis,1.0
44,kr-vs-k-zero-one_vs_draw,0.8076530612244899
45,kr-vs-k-three_vs_eleven,0.8161506707946335
46,new-thyroid1,0.7857142857142857
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.7033179012345679
48,kr-vs-k-zero_vs_eight,0.5981934731934732
49,new-thyroid2,0.9226190476190477
50,glass5,0.9634146341463414
51,glass2,0.516025641025641
52,habermanImb,0.6601307189542485
53,glass1,0.5671296296296298
54,glass-0-6_vs_5,0.7375
55,glass0,0.7586206896551724
56,glass4,0.8583333333333333
57,glass6,0.722972972972973
58,glass-0-1-6_vs_5,0.7857142857142857
59,glass-0-4_vs_5,0.7058823529411764
60,ecoli1,0.6081730769230769
61,glass-0-1-5_vs_2,0.5362903225806451
62,ecoli3,0.5175644028103045
63,glass-0-1-2-3_vs_4-5-6,0.7585227272727273
64,flare-F,0.8165311653116532
65,glass-0-1-4-6_vs_2,0.6317567567567568
66,ecoli2,0.5653907496012759
67,ecoli-0_vs_1,0.7563218390804598
68,ecoli4,0.802734375
69,glass-0-1-6_vs_2,0.5214285714285714
70,ecoli-0-6-7_vs_5,0.825
71,ecoli-0-2-6-7_vs_3-5,0.8574999999999999
72,ecoli-0-1_vs_2-3-5,0.7863636363636364
73,ecoli-0-2-3-4_vs_5,0.8445945945945946
74,ecoli-0-3-4-6_vs_5,0.7972972972972974
75,ecoli-0-3-4-7_vs_5-6,0.721276595744681
76,ecoli-0-1_vs_5,0.7130681818181818
77,ecoli-0-6-7_vs_3-5,0.975
78,ecoli-0-3-4_vs_5,0.7256944444444444
79,ecoli-0-4-6_vs_5,0.8040540540540541
80,car-good,0.5015060240963856
81,ecoli-0-1-3-7_vs_2-6,0.8590909090909091
82,abalone9-18,0.8715780998389694
83,ecoli-0-1-4-7_vs_2-3-5-6,0.7083333333333334
84,ecoli-0-1-4-6_vs_5,0.7884615384615385
85,ecoli-0-1-4-7_vs_5-6,0.7129032258064516
86,car-vgood,0.5015015015015015
87,dermatology-6,0.6819852941176471
88,cleveland-0_vs_4,0.9635416666666667
89,abalone19,0.6396260554885405
90,abalone-21_vs_8,0.9926900584795322
91,abalone-19_vs_10-11-12-13,0.5801886792452831
92,abalone-20_vs_8-9-10,0.8445767195767195
93,abalone-3_vs_11,0.6734693877551019
94,abalone-17_vs_7-8-9-10,0.8301352339181287
