,Database,AUC
0,yeast-2_vs_8,0.64247311827957
1,zoo-3,0.6
2,yeast4,0.7240940877304514
3,yeast1,0.564614791138543
4,yeast3,0.5254820936639119
5,yeast-2_vs_4,0.9169960474308301
6,yeast-1_vs_7,0.6056201550387597
7,yeast5,0.835841049382716
8,yeast6,0.8330049261083743
9,yeast-1-4-5-8_vs_7,0.7844611528822055
10,winequality-white-3_vs_7,0.9275568181818181
11,yeast-0-3-5-9_vs_7-8,0.5603260869565218
12,wisconsinImb,0.980688202247191
13,winequality-white-9_vs_4,0.5757575757575757
14,winequality-white-3-9_vs_5,0.5462328767123288
15,yeast-1-2-8-9_vs_7,0.5430253623188406
16,yeast-0-5-6-7-9_vs_4,0.5626794258373206
17,winequality-red-8_vs_6-7,0.6938622754491017
18,yeast-0-2-5-6_vs_3-7-8-9,0.7504143646408841
19,yeast-0-2-5-7-9_vs_3-6-8,0.7359116022099448
20,winequality-red-4,0.5116210650191233
21,vehicle1,0.5752164502164503
22,winequality-red-3_vs_5,0.8394160583941606
23,vehicle3,0.607306354147592
24,winequality-red-8_vs_6,0.705078125
25,vehicle2,0.6177849927849928
26,vowel0,0.9459876543209877
27,shuttle-c2-vs-c4,1.0
28,vehicle0,0.591346153846154
29,shuttle-c0-vs-c4,0.9990862573099415
30,poker-9_vs_7,0.8404255319148937
31,segment0,0.7850091827364556
32,poker-8-9_vs_5,0.5080487804878049
33,page-blocks-1-3_vs_4,0.8679775280898876
34,shuttle-2_vs_5,0.9977828746177371
35,poker-8_vs_6,0.639554794520548
36,poker-8-9_vs_6,0.6681506849315069
37,pimaImb,0.6997222222222221
38,shuttle-6_vs_2-3,0.9204545454545455
39,page-blocks0,0.8881067432059294
40,iris0,0.5825
41,kr-vs-k-zero_vs_fifteen,1.0
42,kr-vs-k-one_vs_fifteen,0.9786374133949192
43,lymphography-normal-fibrosis,1.0
44,kr-vs-k-zero-one_vs_draw,0.5736819727891157
45,kr-vs-k-three_vs_eleven,0.7309597523219814
46,new-thyroid1,0.7619047619047619
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.7253086419753085
48,kr-vs-k-zero_vs_eight,0.7316433566433567
49,new-thyroid2,0.9146825396825398
50,glass5,0.8231707317073171
51,glass2,0.7147435897435896
52,habermanImb,0.5725490196078431
53,glass1,0.5092592592592593
54,glass-0-6_vs_5,0.6625
55,glass0,0.7475369458128078
56,glass4,0.7375
57,glass6,0.8626126126126126
58,glass-0-1-6_vs_5,0.7142857142857143
59,glass-0-4_vs_5,0.7058823529411764
60,ecoli1,0.6532451923076923
61,glass-0-1-5_vs_2,0.5766129032258065
62,ecoli3,0.6978922716627636
63,glass-0-1-2-3_vs_4-5-6,0.8678977272727273
64,flare-F,0.8181571815718157
65,glass-0-1-4-6_vs_2,0.6621621621621622
66,ecoli2,0.5255183413078149
67,ecoli-0_vs_1,0.7885057471264367
68,ecoli4,0.8203125
69,glass-0-1-6_vs_2,0.5928571428571429
70,ecoli-0-6-7_vs_5,0.65
71,ecoli-0-2-6-7_vs_3-5,0.8325
72,ecoli-0-1_vs_2-3-5,0.925
73,ecoli-0-2-3-4_vs_5,0.8445945945945946
74,ecoli-0-3-4-6_vs_5,0.7601351351351351
75,ecoli-0-3-4-7_vs_5-6,0.8
76,ecoli-0-1_vs_5,0.7727272727272727
77,ecoli-0-6-7_vs_3-5,0.85
78,ecoli-0-3-4_vs_5,0.8611111111111112
79,ecoli-0-4-6_vs_5,0.777027027027027
80,car-good,0.5671256454388984
81,ecoli-0-1-3-7_vs_2-6,0.9727272727272727
82,abalone9-18,0.8289049919484702
83,ecoli-0-1-4-7_vs_2-3-5-6,0.7298387096774194
84,ecoli-0-1-4-6_vs_5,0.8509615384615384
85,ecoli-0-1-4-7_vs_5-6,0.6870967741935483
86,car-vgood,0.5920535920535921
87,dermatology-6,0.9025735294117647
88,cleveland-0_vs_4,0.9895833333333334
89,abalone19,0.6486731001206272
90,abalone-21_vs_8,0.9400584795321638
91,abalone-19_vs_10-11-12-13,0.6370170709793351
92,abalone-20_vs_8-9-10,0.6501322751322751
93,abalone-3_vs_11,0.9948979591836735
94,abalone-17_vs_7-8-9-10,0.6796418128654971
