,Database,AUC
0,yeast-2_vs_8,0.5779569892473119
1,zoo-3,0.9500000000000001
2,yeast4,0.7581055308328035
3,yeast1,0.5608949630772622
4,yeast3,0.5097566574839302
5,yeast-2_vs_4,0.91600790513834
6,yeast-1_vs_7,0.7054263565891472
7,yeast5,0.8522376543209876
8,yeast6,0.8448275862068966
9,yeast-1-4-5-8_vs_7,0.6578947368421053
10,winequality-white-3_vs_7,0.9701704545454546
11,yeast-0-3-5-9_vs_7-8,0.5891304347826087
12,wisconsinImb,0.9398408239700374
13,winequality-white-9_vs_4,0.9393939393939394
14,winequality-white-3-9_vs_5,0.5732876712328767
15,yeast-1-2-8-9_vs_7,0.5471014492753623
16,yeast-0-5-6-7-9_vs_4,0.5435406698564593
17,winequality-red-8_vs_6-7,0.5988023952095809
18,yeast-0-2-5-6_vs_3-7-8-9,0.7831491712707181
19,yeast-0-2-5-7-9_vs_3-6-8,0.7743093922651934
20,winequality-red-4,0.6231244483671668
21,vehicle1,0.5324675324675324
22,winequality-red-3_vs_5,0.718978102189781
23,vehicle3,0.5716901666361472
24,winequality-red-8_vs_6,0.63671875
25,vehicle2,0.5577200577200577
26,vowel0,0.7601851851851852
27,shuttle-c2-vs-c4,0.6666666666666667
28,vehicle0,0.5915384615384616
29,shuttle-c0-vs-c4,0.9922636452241715
30,poker-9_vs_7,0.925531914893617
31,segment0,0.6848025711662076
32,poker-8-9_vs_5,0.5829268292682928
33,page-blocks-1-3_vs_4,0.6404494382022472
34,shuttle-2_vs_5,0.9461773700305811
35,poker-8_vs_6,0.7328767123287672
36,poker-8-9_vs_6,0.5301369863013699
37,pimaImb,0.7037037037037037
38,shuttle-6_vs_2-3,1.0
39,page-blocks0,0.7224967301264351
40,iris0,0.615
41,kr-vs-k-zero_vs_fifteen,0.9734411085450346
42,kr-vs-k-one_vs_fifteen,0.8842378752886836
43,lymphography-normal-fibrosis,0.9464285714285714
44,kr-vs-k-zero-one_vs_draw,0.7396258503401361
45,kr-vs-k-three_vs_eleven,0.8667698658410732
46,new-thyroid1,0.7380952380952381
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.7723765432098766
48,kr-vs-k-zero_vs_eight,0.5472027972027973
49,new-thyroid2,0.8690476190476191
50,glass5,0.7926829268292683
51,glass2,0.7564102564102564
52,habermanImb,0.5973856209150327
53,glass1,0.5300925925925926
54,glass-0-6_vs_5,0.925
55,glass0,0.7241379310344828
56,glass4,0.6083333333333334
57,glass6,0.8468468468468469
58,glass-0-1-6_vs_5,0.8714285714285714
59,glass-0-4_vs_5,0.5294117647058824
60,ecoli1,0.609375
61,glass-0-1-5_vs_2,0.7419354838709677
62,ecoli3,0.6580796252927401
63,glass-0-1-2-3_vs_4-5-6,0.7755681818181819
64,flare-F,0.9013550135501355
65,glass-0-1-4-6_vs_2,0.7702702702702703
66,ecoli2,0.5406698564593301
67,ecoli-0_vs_1,0.7011494252873562
68,ecoli4,0.80078125
69,glass-0-1-6_vs_2,0.8999999999999999
70,ecoli-0-6-7_vs_5,0.63125
71,ecoli-0-2-6-7_vs_3-5,0.88
72,ecoli-0-1_vs_2-3-5,0.8772727272727273
73,ecoli-0-2-3-4_vs_5,0.8445945945945946
74,ecoli-0-3-4-6_vs_5,0.722972972972973
75,ecoli-0-3-4-7_vs_5-6,0.7574468085106383
76,ecoli-0-1_vs_5,0.6477272727272727
77,ecoli-0-6-7_vs_3-5,0.845
78,ecoli-0-3-4_vs_5,0.8125
79,ecoli-0-4-6_vs_5,0.7905405405405406
80,car-good,0.6540447504302926
81,ecoli-0-1-3-7_vs_2-6,0.9272727272727272
82,abalone9-18,0.7318840579710145
83,ecoli-0-1-4-7_vs_2-3-5-6,0.7043010752688172
84,ecoli-0-1-4-6_vs_5,0.7980769230769231
85,ecoli-0-1-4-7_vs_5-6,0.6612903225806451
86,car-vgood,0.5301455301455301
87,dermatology-6,0.9448529411764706
88,cleveland-0_vs_4,0.65625
89,abalone19,0.7947326095697628
90,abalone-21_vs_8,0.8567251461988304
91,abalone-19_vs_10-11-12-13,0.6397124887690926
92,abalone-20_vs_8-9-10,0.5035273368606702
93,abalone-3_vs_11,0.9761904761904762
94,abalone-17_vs_7-8-9-10,0.5402046783625731
