,Database,AUC
0,yeast-2_vs_8,0.6330645161290323
1,zoo-3,0.6
2,yeast4,0.6924666242848061
3,yeast1,0.5285737903670231
4,yeast3,0.5334595959595959
5,yeast-2_vs_4,0.8577075098814229
6,yeast-1_vs_7,0.6007751937984496
7,yeast5,0.6493055555555556
8,yeast6,0.5916256157635468
9,yeast-1-4-5-8_vs_7,0.6597744360902256
10,winequality-white-3_vs_7,0.9822443181818181
11,yeast-0-3-5-9_vs_7-8,0.5885869565217392
12,wisconsinImb,0.9698033707865168
13,winequality-white-9_vs_4,0.5909090909090908
14,winequality-white-3-9_vs_5,0.8054794520547945
15,yeast-1-2-8-9_vs_7,0.5919384057971013
16,yeast-0-5-6-7-9_vs_4,0.5167464114832536
17,winequality-red-8_vs_6-7,0.6414670658682635
18,yeast-0-2-5-6_vs_3-7-8-9,0.6287292817679557
19,yeast-0-2-5-7-9_vs_3-6-8,0.7077348066298343
20,winequality-red-4,0.5672256546042953
21,vehicle1,0.5980339105339105
22,winequality-red-3_vs_5,0.8521897810218978
23,vehicle3,0.5965024720747115
24,winequality-red-8_vs_6,0.7509765625
25,vehicle2,0.7051767676767677
26,vowel0,0.6311728395061729
27,shuttle-c2-vs-c4,1.0
28,vehicle0,0.5447115384615384
29,shuttle-c0-vs-c4,0.698769493177388
30,poker-9_vs_7,0.9840425531914894
31,segment0,0.775769054178145
32,poker-8-9_vs_5,0.7053658536585365
33,page-blocks-1-3_vs_4,0.6788389513108615
34,shuttle-2_vs_5,0.9843272171253823
35,poker-8_vs_6,0.8163527397260274
36,poker-8-9_vs_6,0.6585616438356164
37,pimaImb,0.7174074074074075
38,shuttle-6_vs_2-3,0.9772727272727273
39,page-blocks0,0.6633256430751344
40,iris0,0.785
41,kr-vs-k-zero_vs_fifteen,0.7811778290993072
42,kr-vs-k-one_vs_fifteen,0.8017465357967668
43,lymphography-normal-fibrosis,1.0
44,kr-vs-k-zero-one_vs_draw,0.8042091836734694
45,kr-vs-k-three_vs_eleven,0.8198142414860681
46,new-thyroid1,0.7599206349206349
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.7110339506172839
48,kr-vs-k-zero_vs_eight,0.604020979020979
49,new-thyroid2,0.9265873015873016
50,glass5,0.9634146341463414
51,glass2,0.5288461538461539
52,habermanImb,0.6594771241830065
53,glass1,0.5717592592592593
54,glass-0-6_vs_5,0.6875
55,glass0,0.7598522167487685
56,glass4,0.8583333333333333
57,glass6,0.7094594594594594
58,glass-0-1-6_vs_5,0.8
59,glass-0-4_vs_5,0.7205882352941176
60,ecoli1,0.6045673076923077
61,glass-0-1-5_vs_2,0.5362903225806451
62,ecoli3,0.5210772833723654
63,glass-0-1-2-3_vs_4-5-6,0.7542613636363636
64,flare-F,0.8197831978319783
65,glass-0-1-4-6_vs_2,0.6351351351351351
66,ecoli2,0.562200956937799
67,ecoli-0_vs_1,0.7563218390804598
68,ecoli4,0.806640625
69,glass-0-1-6_vs_2,0.5321428571428571
70,ecoli-0-6-7_vs_5,0.83125
71,ecoli-0-2-6-7_vs_3-5,0.8525
72,ecoli-0-1_vs_2-3-5,0.7795454545454545
73,ecoli-0-2-3-4_vs_5,0.8412162162162162
74,ecoli-0-3-4-6_vs_5,0.8006756756756757
75,ecoli-0-3-4-7_vs_5-6,0.6978723404255319
76,ecoli-0-1_vs_5,0.7130681818181819
77,ecoli-0-6-7_vs_3-5,0.9775
78,ecoli-0-3-4_vs_5,0.7361111111111112
79,ecoli-0-4-6_vs_5,0.7837837837837838
80,car-good,0.5022590361445783
81,ecoli-0-1-3-7_vs_2-6,0.9090909090909091
82,abalone9-18,0.8977455716586151
83,ecoli-0-1-4-7_vs_2-3-5-6,0.7123655913978495
84,ecoli-0-1-4-6_vs_5,0.8100961538461539
85,ecoli-0-1-4-7_vs_5-6,0.7048387096774194
86,car-vgood,0.5007507507507507
87,dermatology-6,0.6893382352941176
88,cleveland-0_vs_4,0.9635416666666666
89,abalone19,0.6419380780056293
90,abalone-21_vs_8,0.9912280701754386
91,abalone-19_vs_10-11-12-13,0.5801886792452831
92,abalone-20_vs_8-9-10,0.8458994708994709
93,abalone-3_vs_11,0.6802721088435374
94,abalone-17_vs_7-8-9-10,0.8314144736842105
