,Database,AUC
0,yeast-2_vs_8,0.6317204301075269
1,zoo-3,0.625
2,yeast4,0.7347425301970756
3,yeast1,0.528105367574121
4,yeast3,0.5507920110192838
5,yeast-2_vs_4,0.8913043478260869
6,yeast-1_vs_7,0.624031007751938
7,yeast5,0.8562885802469136
8,yeast6,0.817487684729064
9,yeast-1-4-5-8_vs_7,0.7731829573934836
10,winequality-white-3_vs_7,0.9133522727272727
11,yeast-0-3-5-9_vs_7-8,0.5543478260869565
12,wisconsinImb,0.9833801498127341
13,winequality-white-9_vs_4,0.5909090909090908
14,winequality-white-3-9_vs_5,0.5506849315068492
15,yeast-1-2-8-9_vs_7,0.5326086956521738
16,yeast-0-5-6-7-9_vs_4,0.5593301435406699
17,winequality-red-8_vs_6-7,0.6998502994011976
18,yeast-0-2-5-6_vs_3-7-8-9,0.7705801104972376
19,yeast-0-2-5-7-9_vs_3-6-8,0.7560773480662983
20,winequality-red-4,0.5272138864371875
21,vehicle1,0.5836038961038961
22,winequality-red-3_vs_5,0.8540145985401459
23,vehicle3,0.6006225965940304
24,winequality-red-8_vs_6,0.7470703125
25,vehicle2,0.6112012987012987
26,vowel0,0.928395061728395
27,shuttle-c2-vs-c4,1.0
28,vehicle0,0.6110576923076922
29,shuttle-c0-vs-c4,0.9992690058479532
30,poker-9_vs_7,0.851063829787234
31,segment0,0.7869222528313438
32,poker-8-9_vs_5,0.5463414634146342
33,page-blocks-1-3_vs_4,0.8595505617977528
34,shuttle-2_vs_5,0.9975535168195719
35,poker-8_vs_6,0.665667808219178
36,poker-8-9_vs_6,0.6188356164383562
37,pimaImb,0.7203703703703703
38,shuttle-6_vs_2-3,0.9318181818181819
39,page-blocks0,0.88956002034588
40,iris0,0.6525
41,kr-vs-k-zero_vs_fifteen,0.9963433410315627
42,kr-vs-k-one_vs_fifteen,0.9996391454965359
43,lymphography-normal-fibrosis,1.0
44,kr-vs-k-zero-one_vs_draw,0.6610544217687074
45,kr-vs-k-three_vs_eleven,0.6982456140350877
46,new-thyroid1,0.753968253968254
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.7445987654320987
48,kr-vs-k-zero_vs_eight,0.7415501165501165
49,new-thyroid2,0.9126984126984127
50,glass5,0.8353658536585367
51,glass2,0.7403846153846154
52,habermanImb,0.5849673202614378
53,glass1,0.5034722222222222
54,glass-0-6_vs_5,0.5875
55,glass0,0.7610837438423645
56,glass4,0.7083333333333333
57,glass6,0.867117117117117
58,glass-0-1-6_vs_5,0.7071428571428571
59,glass-0-4_vs_5,0.7058823529411764
60,ecoli1,0.6694711538461539
61,glass-0-1-5_vs_2,0.5282258064516129
62,ecoli3,0.7189695550351287
63,glass-0-1-2-3_vs_4-5-6,0.8565340909090908
64,flare-F,0.8558265582655826
65,glass-0-1-4-6_vs_2,0.6959459459459458
66,ecoli2,0.5167464114832536
67,ecoli-0_vs_1,0.7908045977011494
68,ecoli4,0.79296875
69,glass-0-1-6_vs_2,0.5714285714285714
70,ecoli-0-6-7_vs_5,0.68125
71,ecoli-0-2-6-7_vs_3-5,0.9
72,ecoli-0-1_vs_2-3-5,0.9363636363636364
73,ecoli-0-2-3-4_vs_5,0.847972972972973
74,ecoli-0-3-4-6_vs_5,0.7770270270270271
75,ecoli-0-3-4-7_vs_5-6,0.7425531914893617
76,ecoli-0-1_vs_5,0.7698863636363635
77,ecoli-0-6-7_vs_3-5,0.8674999999999999
78,ecoli-0-3-4_vs_5,0.8402777777777778
79,ecoli-0-4-6_vs_5,0.8074324324324325
80,car-good,0.5836919104991394
81,ecoli-0-1-3-7_vs_2-6,0.9772727272727273
82,abalone9-18,0.8462157809983897
83,ecoli-0-1-4-7_vs_2-3-5-6,0.728494623655914
84,ecoli-0-1-4-6_vs_5,0.8677884615384616
85,ecoli-0-1-4-7_vs_5-6,0.6935483870967742
86,car-vgood,0.7125202125202126
87,dermatology-6,0.8897058823529411
88,cleveland-0_vs_4,0.9947916666666667
89,abalone19,0.6948130277442702
90,abalone-21_vs_8,0.945906432748538
91,abalone-19_vs_10-11-12-13,0.6300539083557952
92,abalone-20_vs_8-9-10,0.6115520282186948
93,abalone-3_vs_11,0.9965986394557823
94,abalone-17_vs_7-8-9-10,0.6959978070175439
