,Database,AUC
0,yeast-2_vs_8,0.6263440860215054
1,zoo-3,0.8999999999999999
2,yeast4,0.7279084551811825
3,yeast1,0.5557698666372755
4,yeast3,0.5213498622589532
5,yeast-2_vs_4,0.9268774703557312
6,yeast-1_vs_7,0.7209302325581395
7,yeast5,0.7962962962962963
8,yeast6,0.8004926108374384
9,yeast-1-4-5-8_vs_7,0.6729323308270676
10,winequality-white-3_vs_7,0.9701704545454546
11,yeast-0-3-5-9_vs_7-8,0.5793478260869566
12,wisconsinImb,0.9440543071161048
13,winequality-white-9_vs_4,0.6666666666666667
14,winequality-white-3-9_vs_5,0.5671232876712329
15,yeast-1-2-8-9_vs_7,0.5489130434782609
16,yeast-0-5-6-7-9_vs_4,0.5330143540669856
17,winequality-red-8_vs_6-7,0.7020958083832336
18,yeast-0-2-5-6_vs_3-7-8-9,0.7403314917127072
19,yeast-0-2-5-7-9_vs_3-6-8,0.7171270718232043
20,winequality-red-4,0.5257428655486908
21,vehicle1,0.5326479076479076
22,winequality-red-3_vs_5,0.8102189781021898
23,vehicle3,0.514191540010987
24,winequality-red-8_vs_6,0.69921875
25,vehicle2,0.5404040404040404
26,vowel0,0.9567901234567902
27,shuttle-c2-vs-c4,1.0
28,vehicle0,0.645576923076923
29,shuttle-c0-vs-c4,0.9971369395711501
30,poker-9_vs_7,0.7978723404255319
31,segment0,0.7833639424548516
32,poker-8-9_vs_5,0.5707317073170731
33,page-blocks-1-3_vs_4,0.5730337078651686
34,shuttle-2_vs_5,0.9905198776758409
35,poker-8_vs_6,0.6292808219178082
36,poker-8-9_vs_6,0.6212328767123287
37,pimaImb,0.662962962962963
38,shuttle-6_vs_2-3,0.9772727272727273
39,page-blocks0,0.9095062490917017
40,iris0,0.565
41,kr-vs-k-zero_vs_fifteen,1.0
42,kr-vs-k-one_vs_fifteen,1.0
43,lymphography-normal-fibrosis,0.9464285714285714
44,kr-vs-k-zero-one_vs_draw,0.6968537414965986
45,kr-vs-k-three_vs_eleven,0.726109391124871
46,new-thyroid1,0.75
47,led7digit-0-2-4-5-6-7-8-9_vs_1,0.8109567901234568
48,kr-vs-k-zero_vs_eight,0.6416083916083917
49,new-thyroid2,0.9166666666666667
50,glass5,0.8414634146341464
51,glass2,0.7948717948717948
52,habermanImb,0.5568627450980392
53,glass1,0.5462962962962963
54,glass-0-6_vs_5,0.575
55,glass0,0.7906403940886699
56,glass4,0.7416666666666667
57,glass6,0.8558558558558559
58,glass-0-1-6_vs_5,0.6714285714285715
59,glass-0-4_vs_5,0.5294117647058824
60,ecoli1,0.6105769230769231
61,glass-0-1-5_vs_2,0.5403225806451613
62,ecoli3,0.6276346604215457
63,glass-0-1-2-3_vs_4-5-6,0.8039772727272727
64,flare-F,0.9078590785907859
65,glass-0-1-4-6_vs_2,0.7635135135135135
66,ecoli2,0.5582137161084529
67,ecoli-0_vs_1,0.6367816091954023
68,ecoli4,0.890625
69,glass-0-1-6_vs_2,0.6285714285714286
70,ecoli-0-6-7_vs_5,0.625
71,ecoli-0-2-6-7_vs_3-5,0.905
72,ecoli-0-1_vs_2-3-5,0.8909090909090909
73,ecoli-0-2-3-4_vs_5,0.8648648648648649
74,ecoli-0-3-4-6_vs_5,0.8040540540540541
75,ecoli-0-3-4-7_vs_5-6,0.7872340425531915
76,ecoli-0-1_vs_5,0.6761363636363636
77,ecoli-0-6-7_vs_3-5,0.885
78,ecoli-0-3-4_vs_5,0.8333333333333334
79,ecoli-0-4-6_vs_5,0.8243243243243243
80,car-good,0.6581325301204819
81,ecoli-0-1-3-7_vs_2-6,0.9818181818181818
82,abalone9-18,0.8872785829307568
83,ecoli-0-1-4-7_vs_2-3-5-6,0.7473118279569892
84,ecoli-0-1-4-6_vs_5,0.8413461538461539
85,ecoli-0-1-4-7_vs_5-6,0.6548387096774193
86,car-vgood,0.5174405174405174
87,dermatology-6,0.9448529411764706
88,cleveland-0_vs_4,0.9791666666666666
89,abalone19,0.6827503015681544
90,abalone-21_vs_8,0.956140350877193
91,abalone-19_vs_10-11-12-13,0.5610961365678346
92,abalone-20_vs_8-9-10,0.7588183421516754
93,abalone-3_vs_11,1.0
94,abalone-17_vs_7-8-9-10,0.7041301169590644
